signature_index,total_director_comp
c58f4aacd403caca8cba670bbf46b5f9,4974.504
329a886963a034bcfc5be0c56ee5606e,4974.504
4dbaabb304c59f745803eda12137b7bf,4974.504
2e942b9b866adc95b2752b838f9ab524,2856.737
fd638432c7cee5b428170396b10c85c3,2856.737
0b35ffad200cf8d9ed21cd2035f0af06,2856.737
467a8ad24685a773882810cce904f2ee,36.3
04866ff27d3aff1da1e9fd4ce3b40769,2665.0
c550dc76fd96b24966721e311aa29be2,2665.0
3c1312d25921b6c65241c1abb5ec8fff,2665.0
5dd01d6aaf240150e871552fbd4aec01,4387.891
5df8964db45dfe45fd2031ea85c76a5d,4387.891
a359f417411140244b3261975cb20ad3,4387.891
45c4209c603dc316349d3c525dcc8428,2544.489
6bbfdfc160ff2e2ec0c857f6d38623a8,2544.489
a1f561a6a093aa70c31a24c1aab93f6b,3246.7490000000003
d77661ebe4e0cd6bea0dd5c5df7d10f0,2824.147
a4ff235d3e9aff4b53954ccf833876a2,3502.192
2bbdff1ace6afe9ed6f6088730ea460d,3502.192
b3b180c516891a0c1f1633db034b362b,3502.192
cac8bba9a1d62159f06bdcf89f016668,2422.75
1ba3da766c807429a7ddff6f097e81db,2422.75
a6a2d142aad54303899f69c436cfdecc,2422.75
1a16469b3a44eec99c2222f6e5f50b47,6237.05
c2c21b8862a421b6c54db35045f3dbb1,6237.05
d02e739b84e1e37adca7e968c0968af9,6237.05
2449a1bba5b16e4aca6591c4d0a97853,2308.698
d9d535528a72e5825acba41fc16c8108,2308.698
1f8fcf8674158904d84a125fdcea21f6,2308.698
d84c8abe67f07c700bf5618009b3053e,3259.442
fb660f2bac574c2848c1d3986f8a9518,3693.762
8902971079701f258470a61a2156ed70,3693.762
d1d4c9dbde0163593dd77886c3be2cc4,3693.762
3e72b65e79987d9af9fa25ebc76586a1,4580.163
4d37c8b05e435067ff59708511ff12ae,4580.163
861b5d0198a48e35c5811675996cf6a5,4580.163
cfc407d63002b076dd0bb4792cc294b9,3128.583
e4fea1aaf695468c7d4d817ead44d1a2,3128.583
247c0e2df87e23f0cc8fceec06931d02,3128.583
fccd2cc4cadb128864d651158d4279da,2820.138
774f5db9fa4d32b9b0747cea73835e58,2820.138
007597e242be3ac51904ed8b420d0a4f,4074.493
4a63270cdc34f1ee65e3b0adb6da2b35,4074.493
6da5215e4232f84db99f3c323095f853,4074.493
0e712d916fff5816f5cc89b170e7310b,2683.685
7b34fab3e1cba799846866070ff8274f,3042.023
d0ebe0d494a0ab399df9969eed86b8dc,3042.023
a8911813378e06f1ad1ff6e4aca2adf3,3042.023
3836e20995803d0db0e777fe236ea405,1780.0
283f5a88ca497c383ccacec76579b0a9,1780.0
296a97f89a65ef2ad811c7901f76558a,1780.0
4eca887f73c06724ccbff732956bba82,5365.395
24ca68c86a8724e57748366b446c7605,0.0
6eca670e0690001ff4245a07a5ab51e5,0.0
6851d3176d940f34828a9e23f3b507cc,0.0
c784a40a7be819a4b1c15ebcf861bd31,2235.445
8ba64c1b061338fe6037073f789edf8a,2311.682
b75251199e48ab3e01a16bcc3dbf2e77,2311.682
0185cf3889af043265590fadcd273be8,2311.682
84648e46fa3ccedc4befc39767a7ff4d,1294.802
d9c887f66233980649b4325c6cc1aacd,1294.802
c575e34bc80de0ce56e4aa6a1b03e52d,1294.802
08b6a487691ce7056c57bf8df8c3341a,4123.029
f76caa3d119d7a6ffe2bc5c6f93ac77d,4123.029
