signature_index,tdc1
c6e4f1228ec889603b607b5458c2a480,12825.066
3a56975f551f0ce70592c7aa4ab98ad6,15682.219
e4b573f098ef076c8ee27e6e3b716e99,11555.466
47d2bdd790026e0edf1c89ac10a1d143,17937.581
a0b28b6bafa4630d2d195928b8eab5ae,18637.867
6676a8ddcdcb0a7c051dc5199deec6cc,18095.355
b27ec866f2b741a0dcf0a5b17567d0b3,388.968
67c9aeed86f5cbabcf6d9f19f9878735,28286.228
a0392c66e0978d1674dd7f69a59cd462,30020.139
a14e938e3d624b4514ab33e194ea2b74,31578.246
6f33c552cf9edc4ca8a4428b2428c0cc,21799.144
85b8c4db8c982efa5c3f2bf5fed74637,19411.071
3ab6d2f27fdf3d28b839fcecb742c8d8,19687.284
950a07cc5850f8a292902da81c5d8460,16384.123
8ac71e6edc35a1cb9e84e45edcfe1c49,18000.995
b5f7cc4d190dee46712c556d6bdf8bab,28809.952
4f6370b9bc69c1e1b1172511f31003ce,45550.528
f65ad6da0b3977b64567ffb778c68068,14140.354
f6ca84b86c8eee48b962cbc7d68275c9,15800.29
995ae268484145d18b8ca811482b3e06,16424.332
de4410497ce6e281a42370706d8ba4c2,11525.085
f4939ff39d354c12eb9dd88e6c04b824,11147.505
37859b107ed6fa7d3f27653ba74a99c6,10768.09
8c895d749c800e9402b6ca917f5ae7e0,21527.7
d70758e0ddda211cfc4e372fed0c940b,16706.7
f3539bb92a5b975a1f1645d168b50207,66935.1
1e324fec4f083411acdd5f0e85799ff9,22843.42
1e99417f6571c699ae0532e6f1bfa59d,18662.346
85b890d45849841a3a704cbab19d0cc4,19590.777
3da8b7757ba19dfec788eb31dd16560e,22570.328
429733e1a72e9056a9c0c1bcd7445639,21355.481
18a4181363a12fd3f372e899cba466ff,22513.296
56dca8c936221a988c4dff09d7d330db,25495.382
031acf857dd97683f6df754c8ac33bbe,17507.265
dbe3c31b07b1f7609952b33e4833b87d,18419.306
55a3579af8832ac49396d86ae54eecba,9600.292
470a941194ce9ea117a40e485b01f562,26165.138
b1970e411954dcb6deb09a668f5b10a6,19549.213
006b43b0c6e6426b549f4239d74b76ef,16202.515
fe8f1c036aa76d6a5d96e54f82b103d4,19205.056
fbf6e7569ab170804c079037d28153ec,22140.414
a844e4ba78125c426562b0c659a35aec,25300.661
f85ed8442d206aadcc2d2dcc3f9af355,25731.455
d89d49afd3206b71726a150fec07c10d,28443.729
c8e0374b0203ab480814f96c6575fc8b,18107.356
83b5da283da80d8cbcace04c239554c3,22791.276
d34a55edc5f80318a1be0939c4d62aaa,23618.233
5379b245f9bcc1cee26fc9cc8bd1e0ab,22105.35
00f619b006270e17706c97a8e86d7e25,20014.152
54302fc391281babcc0d8d1f082e4d52,25843.263
dc761f6a49f5a9b65b20fe73a21d075c,42910.215
a45fe1b66694e20bd25b1c4acbee040b,20733.283
549ade3909aeb88cacfcbf3fd90864ec,1681.84
046a3978b91311684755c2585ef5220f,1681.84
ae0e0a0e8e09580515203c7a5ad6f675,1681.84
77ce9329dd1b2298c62ad4b16799c284,23249.977
c1f62754dceac803be4bfb16c80efc6c,0.001
cca6f6a6e3469e2fe276e4f0f12ebdec,0.001
760c77bab21c8e792f85808eea2456e4,280621.551
9e09ba27a63d2954416058d56760a6a2,9101.966
cd231bcb9e4f380613b5f8c189453e94,22554.543
84e07de553f884288bebd0a8787c69dd,23415.973
dec9491791aa03a53e63658d2ef9dfea,19493.946
3657e8c3dc2d348559b88a5a83f76048,24265.771
