signature_index,tdc1
56934b94d73da2a355d8bf8b820062c9,12175.486
98cf731e7088b235ae3884d10e7ad68c,11999.517
a1a3c443d2ca9f29c6fe2eeac9629822,11571.714
f1e220afeba125735e00f837a37394b2,9560.511
252f396eda49715a7565b98442fb5f18,15620.117
9adde6c185f30bffb8733efef524add1,22872.393
cbc8f51953421d19c35a85ceddb83c9d,22094.981
0be7b602792d019a2e62da5aaf2f48e9,13356.393
fd076a353aa3d5f3d57e254555b92a26,58534.289
ca8ac58efdfab8a10458b85849bc1163,13959.766
8990082838e2df61ff65d58cbc51985f,13941.507
f4cbb491d8f5508a98fe86e4756b3ff5,17031.957
6d95a9c709b51b5a3706b1e0d48994a2,19789.152
7754fb4d37aa578c7cfcf61dc565366d,18651.522
c8a77b0de4ffea0520923333d5ec4ffc,19776.997
8909c91dbc90cff56327acc55f0bb212,8701.859
2c4b72e50bcec6df4c0d35fa8c6ed67c,9342.113
92857c3618867466527f736d49bb85c3,13660.593
b5cbff78f8ea0cb41d374810f27eb0f6,12764.872
e6fd2571448e87ad4b9c0ce3387a0136,12572.44
28c7161c9908c404bc2f683fe1f22b49,12302.813
7f844bd89c2112a1a4f4a5cd30602e17,11169.46
e8fc32caff7f01a632f84742545877b8,11994.627
ea3ae4df6c6b27a0147a499164e6eb4e,13962.285
9f15b6d1d56ff3fce52fe8901c9620a2,16343.075
7c52dd89c71698184282db5420a85f1e,15368.527
dbbf30d779d30888a3aa53af769ad91f,42755.012
792d0dfa109c8daf4420a95a5578ace0,20854.669
7d405f5a446e8ad76a456b104b515b62,19191.331
d2b7fc06f62672ca6a93b5c83479d394,7574.487
f94f51489121934fbd4425a336850a69,8762.155
8ea82ab78fbfb9f57e684b89db8a6acd,9841.038
b62fd5acce782ce1a4a4f12d8d22fe57,16899.789
66a00ff1bf26afc25b2c4b50cde0271c,18555.266
7a0a3102e55587cf24a1c30225857c2b,19612.793
5138b645c435e2cb67d24047e554371d,10511.761
e92bac740211d4acc9dc2c76c52c19f1,11007.691
260e7e1200b2e9a8981fe185190606d9,11948.434
5404efaa85cacd0f813dc786ea4049ef,14433.373
13a0456a8d0c3019ce4349107477a63a,15322.705
c7facdf73291697699e010aa3d71149a,14064.54
f1ad74b901dee5ee3e1ab320e0b0913a,14072.395
5fd11fd912b1c1059e08fb8c54c3e190,3632.46
07adab112675d2ba8c358a1ead0b76f7,19603.616
ed73a2f9df81c2aa204890a3dd692476,18680.965
9f04ca8a6164aafa16c1fcca4f824cde,15639.648
976e5f551bf07c2f12062a9f9c8c2c91,9021.758
26a00c58189623ab4ef7ea36391a1b07,11569.658
e3750bc05ed878e1579a2ef8ecd61eff,9829.272
66b15381fe41db909b151d277e8c7a59,12303.727
d845274212d15365e0748d9b2b20d4d5,15300.702
66d2df7f5c309e31972c0401c7855e08,8615.228
b78a8a88e648a7d02c6d06750380cd18,7987.008
202f9fb4047f5f63491d483dfaa0cba3,12650.159
c30d21e1d291af4068556d88fc9cc46a,10868.462
841bcf0a4b67529fbd123d898f1ab84c,11353.226
360da10674117d3beab926700b79d961,18214.155
addb50d1202e9deac988bb92780d6283,9403.385
65f39ce28d55ab7e590b934bcf7e0b96,14274.237
4d1374c4aa83c1086582860d17805894,14933.664
4e0469128313565104c7a2e859ed0f10,15645.125
dcaeb1ded7ccfae27a3be760506889f2,13913.821
9a862796030e2cf159c72cc218f2c5ed,12427.459
c0ccdc0fd71d9e5d56b092c873a62b99,14326.809
f93ce79d8a845210e6e680e4f6b864d6,15324.623
a95808bf26d2abbc6a6da55191d8e341,16813.705
45bc6924d401dc1915e03c6d814d5af2,17382.486
be6ede0fb11a0c44f3e085d82a88c593,11440.664
cc6b9329e5a0796f6a233c87f6530eed,7261.053
d22271d459f68c6865cd787272671042,16901.279
fbe62558ae13931bea1872455384afe3,23392.187
ae834b777c818c5909ce3b24e59fe8a3,11460.04
ebf8896a307b4d073ebd86ad3dd10b37,18687.123
c1dd152c2ed126b4dbfc7be914f808a2,19379.755
4ea35c84d87f7c234e3041dd45dde1e9,18767.252
49b2885fba503764adb8e487c3d5ad0b,8425.214
d914af67e6a733ca1a131682e65a8672,5207.387
f3ab034b100ac1b7b27a70705502cff6,17547.57
6d118f39a62f6b8f5bfad646eee38557,150546.947
5342e79a5bcf4c1761d8b894d19269aa,13329.173
dd917d859c4fef2e4219fe4fa0ae8051,14993.262
df671c96b27253b1c08b15661de19825,7289.743
80e9daae4a10352e29e2e3614a3a972e,6659.346
1fd2a58d00833276fc2906bb9869c5dc,6895.774
600c07a5b271de057186dea86ed84e5b,10843.537
f0f0f21665d634c719ffd895c2319ad3,10312.778
fa1a745327e9e126d4063de95631064b,10985.176
dbb24714ad02be1b52b59c8d3f988d2d,13111.887
7d133254909aa2f7e9d7b9fd5c519808,15571.004
e6a504c475442363dab87c66024477c4,14035.209
e1875bc0c56e56c29467dd5740749ff0,21398.048
e738ac933e4b466a2e8646739af9ea15,16357.919
c15ccda8a34a27827b7b341a5d90d989,14319.617
fb92975ff0173e4470f6efb82f8f8683,35655.647
2d52c3c690791ae8b6b608c69e6cfd37,17235.108
01964f762c73ff71ce0f414fba0c811b,6259.615
acdb40dc4c54c1d05d7ac34db33a5fee,7267.713
85f269af1b11a3a167fa5e0d277c309f,9000.111
2ff95a7b456f12c89ff229e84d238b34,9778.369
9ba1636006be6e7784f3d273b3ed1c2a,8621.245
975c902fc800a6b1bbc46f0d1911bb43,7880.342
3b1923f83cf35922f1be63d0afa26af9,8001.857
9babec6639fd510bc9ae9daa03b84dc0,8503.187
e5b4c370f27559adac99a8f8dc06b02b,10190.104
65a5faeb16c39d17afc62393e95f7fab,9337.123
a344d565a7582af1fbf3ce372da32ab0,9638.71
b08bc5ee0658a0070baa6bdaea638daa,10791.417
3713232fcb65f856ac4b3a2ceca543bf,14609.682
81a872f7755ecb621790c64292deb824,16007.843
e1b8d162b0e5722f364006f29b42914f,27376.177
c5000ff91eed9ea9913f1c3c665f6e91,29330.869
db40419dfc6ea0404bd2cd4c3d45cf1f,8140.046
055be4330ac5430c3885f408d651c260,8527.765
a32d10a0901ced07f205c32c9db0083f,4833.672
3a4a5fb55b695a9e203025f54f9f51df,17797.952
1a9b46528ed64e366485ec19d193abd7,25503.915
dcd486fe202229c2039b3de4466a28ce,32185.308
676c538f827ec033db81a6ac97038497,17257.898
f2699cf207232da0bdae50bd6d32530b,10473.271
d23a020fefe9b103faa7af1ebb82c041,14392.748
45c38a94021f15e00f8155c83e7579e8,8701.297
f0cfdfea8b68abcad4a9cc75ce274ebb,8015.654
de6c661db048c58d63e3ec1cc65d73da,8946.84
50c47c430d0b32d68bb8fdc11a695891,6862.295
e044f77273651db6f7a4cf8b00a2a4df,8091.185
68e20dc3604257609bc37bbe97acd3a8,8986.702
e37b3a966e739d904daf5589aaad8aa9,6557.113
355ec5489978bbb3bce09b3abf86ba7c,6067.12
049d7d96d02ef36482e62efd342ffbd1,7598.035
184e9f87ffb5a05e186631e2a7eb1dbf,8357.141
84d4be182810abf50093d465ef46a9ec,8341.482
64c4e7bcbb61db2943ef13f58532d562,7171.596
1c7820f7f2ce07a9a4583a6a1f7877a4,14187.792
57820d85f36e7ad2736adb2ea677d003,14706.521
6f7fffb56f00cfafc6c9147d45254280,9755.756
09a13608c2f0dbaa47cd8fdc5a032dec,13069.843
158d0d8f458b1b473c1de7b2878b30bc,12707.894
43a89856f93a57e6997f41a6bb09ac9d,15711.149
3cc5136f000d0d1c5dfe900827b1e720,14779.478
9fb9e279f6978ceafbad682555dfc769,15361.041
28ab8eac6ad39e8a938f23004504cd10,18184.705
6a7827473257f5a4179077ddbaf694dd,8399.21
7b5057502348281e7a00dc0e46b48a58,17204.069
6e3635ef868da85a3e9aa2cb9c212c32,18938.363
95b0fd49b8dcf276460890e271f0a982,14782.146
03c2f939952f461efdb59eb7e7e72790,18239.151
e77d0d8baed39320a896e2c0d47a746e,18312.559
c8ea517726feab10a50b9f424ce299e7,13173.411
7eb49573bb2f667b0fbec7ce13f03437,14982.448
bd74757c44f020a9a496c083e698fd36,17291.986
f8aba5691e21ef78a5098dc9194f1b3b,13067.658
f714578251fc708e1fc806ab52bd5acb,10986.809
7dbd72b1318d5a345cf20a8b1a0e6fd2,7420.207
ab1c8ca0867a4f3b60c8a755b4e23978,36283.68
3a8cf27c85364cacdf4511edc8e41c06,65645.214
2dc0c8e895b718dbed89ad7101e47a3c,8806.409
f464b891328527418533ea7de08b73e5,10602.517
77b0bee7733ac7bf1cd57d388ce13ab9,12008.059
bb7c7830494d3f31f9448a23b5d99157,14210.631
e1cad7a34c821c3a64ab9dbc8db080e0,14956.442
3794f393f6abfc045f0b21fdf172fc33,14876.936
76f94617983cac8b6b7ab13d0c9e5129,8139.343
d14f98551f9b9c5b0fbf17178dbaf0ae,27931.401
9c06952056f4e753dcf8b5a8c2771314,9149.075
317dd29f475bb9abc852f26878d9080d,64403.923
76728ee6231064d69b6e1b398644c258,18675.301
426adcc776f34218bc9b48751bb62208,11244.957
e052be7e766d36351131e410337426ca,23959.325
58d13803b6a696bd6edd00da7d06cdb1,23945.128
da77af600da87a56d270e83250c93805,19818.78
8306af8334d3d71a0c6c5f362b06b095,21107.6
e5f7a828d51b92f6d282f49e321fe65a,13794.367
9fc3843ece6622db6800ab8846cafb23,14673.528
