Unnamed: 0,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
169,1690,AAPL,849.583,7.069,0.0,62.5,199.98,580.034,SP,03783310,APPLE INC,2010,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,259906.4875,Large,8ef8c1a33dc28fb5e985909e09f912a9
170,1690,AAPL,333.499,2.615,0.0,75.0,255.884,0.0,SP,03783310,APPLE INC,2011,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,354351.9056,Large,f07d64310f9837e9f6893b04e5504e27
171,1690,AAPL,284.332,7.438,0.0,75.0,201.894,0.0,SP,03783310,APPLE INC,2012,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,626550.3528,Large,f3cd4230acee9921be4b57e89164c118
172,1690,AAPL,326.832,1.984,0.0,75.0,249.848,0.0,SP,03783310,APPLE INC,2013,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,428699.7978,Large,b983dc3b8bdfaac52995da8bd5c68d94
173,1690,AAPL,186.366,4.469,0.0,25.0,156.897,0.0,SP,03783310,APPLE INC,2014,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,591015.7208,Large,393c6f1926f9982b84b702e49621b4d5
174,1690,AAPL,351.499,1.483,0.0,100.0,250.016,0.0,SP,03783310,APPLE INC,2015,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,615336.4559,Large,3b6360153621f4a59950c323e1f4a3ce
175,1690,AAPL,351.675,1.647,0.0,100.0,250.028,0.0,SP,03783310,APPLE INC,2016,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,603253.5663,Large,dffa9d08c41f23bdacb5c59e3931c59e
176,1690,AAPL,352.185,2.178,0.0,100.0,250.007,0.0,SP,03783310,APPLE INC,2017,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,790050.0981,Large,c58f4aacd403caca8cba670bbf46b5f9
177,1690,AAPL,353.181,3.22,0.0,100.0,249.961,0.0,SP,03783310,APPLE INC,2018,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,1073390.5396,Large,329a886963a034bcfc5be0c56ee5606e
178,1690,AAPL,354.923,4.891,0.0,100.0,250.032,0.0,SP,03783310,APPLE INC,2019,2010,4974.504,26.954,0.0,312.5,999.9,3635.15,995151.5669,Large,4dbaabb304c59f745803eda12137b7bf
275,2136,VZ,307.0,5.0,0.0,152.0,150.0,0.0,SP,92343V10,VERIZON COMMUNICATIONS INC,2016,2010,2856.737,0.0,0.0,1208.833,1626.023,0.0,217613.3919,Large,0f4354d407a3e6de6a05d18ec36ceb60
276,2136,VZ,354.0,0.0,0.0,179.0,175.0,0.0,SP,92343V10,VERIZON COMMUNICATIONS INC,2017,2010,2856.737,0.0,0.0,1208.833,1626.023,0.0,215926.6647,Large,2e942b9b866adc95b2752b838f9ab524
277,2136,VZ,372.0,5.0,0.0,192.0,175.0,0.0,SP,92343V10,VERIZON COMMUNICATIONS INC,2018,2010,2856.737,0.0,0.0,1208.833,1626.023,0.0,232302.8953,Large,fd638432c7cee5b428170396b10c85c3
278,2136,VZ,242.167,5.0,0.0,62.167,175.0,0.0,SP,92343V10,VERIZON COMMUNICATIONS INC,2019,2010,2856.737,0.0,0.0,1208.833,1626.023,0.0,253939.8392,Large,0b35ffad200cf8d9ed21cd2035f0af06
281,2176,BRK.B,5.8,0.0,0.0,5.8,0.0,0.0,SP,08467070,BERKSHIRE HATHAWAY,2012,2010,36.3,0.0,0.0,111.3,0.0,0.0,220625.7545,Large,ad6087860359f146d093b39b9ed9d982
282,2176,BRK.B,6.1,0.0,0.0,6.1,0.0,0.0,SP,08467070,BERKSHIRE HATHAWAY,2013,2010,36.3,0.0,0.0,111.3,0.0,0.0,292404.7315,Large,7293f41aa2a706a89edcfcc379e9aabc
287,2176,BRK.B,7.3,0.0,0.0,7.3,0.0,0.0,SP,08467070,BERKSHIRE HATHAWAY,2018,2010,36.3,0.0,0.0,111.3,0.0,0.0,502273.8156,Large,467a8ad24685a773882810cce904f2ee
420,2968,JPM,31.25,0.0,0.0,31.25,0.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2013,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,219657.1958,Large,4f6101cba5cb714be9f6e6414889999f
421,2968,JPM,345.0,0.0,0.0,120.0,225.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2014,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,232471.4956,Large,f79000588a38e5f6fd25cadb51f73424
422,2968,JPM,345.0,30.0,0.0,90.0,225.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2015,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,241899.2543,Large,f5c69e82c675f1c0b415051c344fa1ef
423,2968,JPM,349.375,34.375,0.0,90.0,225.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2016,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,307295.0851,Large,9b84d4ddbb436b4852c0c890ada2f6c5
424,2968,JPM,402.083,0.0,0.0,152.083,250.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2017,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,366301.582,Large,04866ff27d3aff1da1e9fd4ce3b40769
425,2968,JPM,99.2,11.708,0.0,87.492,0.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2018,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,319780.2769,Large,c550dc76fd96b24966721e311aa29be2
426,2968,JPM,400.0,35.0,0.0,115.0,250.0,0.0,SP,46625H10,JPMORGAN CHASE & CO,2019,2010,2665.0,0.0,0.0,965.0,1700.0,0.0,429912.5274,Large,3c1312d25921b6c65241c1abb5ec8fff
428,2991,CVX,308.991,1.199,0.0,123.792,184.0,0.0,SP,16676410,CHEVRON CORP,2011,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,210796.1688,Large,7cda89880236886b75dd9382677fb7cb
429,2991,CVX,336.525,21.525,0.0,131.0,184.0,0.0,SP,16676410,CHEVRON CORP,2012,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,210515.9217,Large,e510a51009ec4e06c5c034ab13496c98
430,2991,CVX,374.627,0.98,0.0,148.647,225.0,0.0,SP,16676410,CHEVRON CORP,2013,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,239028.1507,Large,13008487f88b38408b322b65586bba68
431,2991,CVX,396.028,6.028,0.0,165.0,225.0,0.0,SP,16676410,CHEVRON CORP,2014,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,210859.0248,Large,bc96bbd133f4260c8b101295b02cc4dd
433,2991,CVX,458.033,10.856,0.0,72.177,225.0,150.0,SP,16676410,CHEVRON CORP,2016,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,222630.3739,Large,dff00b1100debc33c92f0687f25acdc8
434,2991,CVX,385.842,10.842,0.0,0.0,225.0,150.0,SP,16676410,CHEVRON CORP,2017,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,238449.6434,Large,5dd01d6aaf240150e871552fbd4aec01
435,2991,CVX,23.354,23.354,0.0,0.0,0.0,0.0,SP,16676410,CHEVRON CORP,2018,2010,4387.891,260.705,0.0,1183.222,2576.0,367.964,207009.746,Large,5df8964db45dfe45fd2031ea85c76a5d
