Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
170,1690,AAPL,CEO,0.001,0.0,0.0,0.0,0.0,0.001,55.0,0.001,2010,2000-01-05,,2011-08-24,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,259906.4875,Large,07bb77b554735227cff5fa2030412d9f
171,1690,AAPL,CEO,0.001,0.0,0.0,0.0,0.0,0.001,56.0,0.001,2011,2000-01-05,,2011-08-24,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,354351.9056,Large,c7e9a9dddbf102bff2ef0040f461bdd6
172,1690,AAPL,CEO,1357.718,0.0,0.0,0.0,17.274,1357.718,51.0,4174.992,2012,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,626550.3528,Large,8d24c676c2df166d28a5803b2b3c965f
173,1690,AAPL,CEO,1400.006,0.0,0.0,0.0,52.721,1400.006,52.0,4252.727,2013,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,428699.7978,Large,7590616d113b8c30633eed751fba9ad4
174,1690,AAPL,CEO,1748.462,0.0,0.0,0.0,774.176,1748.462,53.0,9222.638,2014,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,591015.7208,Large,aee59a1d63825623200523befbda68ab
175,1690,AAPL,CEO,2000.0,0.0,0.0,0.0,281.327,2000.0,54.0,10281.327,2015,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,615336.4559,Large,b01c9d5fda226e5898d809177619c038
176,1690,AAPL,CEO,3000.0,0.0,0.0,0.0,377.719,3000.0,55.0,8747.719,2016,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,603253.5663,Large,4cc2fb41780c2a717359e78368dad64a
177,1690,AAPL,CEO,3057.692,0.0,0.0,0.0,440.374,3057.692,56.0,12825.066,2017,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,790050.0981,Large,c6e4f1228ec889603b607b5458c2a480
178,1690,AAPL,CEO,3000.0,0.0,0.0,0.0,682.219,3000.0,57.0,15682.219,2018,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,1073390.5396,Large,3a56975f551f0ce70592c7aa4ab98ad6
179,1690,AAPL,CEO,3000.0,0.0,0.0,0.0,884.466,3000.0,58.0,11555.466,2019,2011-08-24,1998-02-01,,MALE,03783310,Radio and Television Broadcasting and Wireless Com,3663,995151.5669,Large,e4b573f098ef076c8ee27e6e3b716e99
276,2136,VZ,CEO,1600.0,0.0,12000.077,0.0,641.347,1600.0,61.0,17542.279,2016,2011-08-01,,2018-08-01,MALE,92343V10,Wireless Telecommunications Carriers (except Satel,4812,217613.3919,Large,fe37c3b7d3a59e7b30da9c55bdf5779b
277,2136,VZ,CEO,1600.0,0.0,12000.062,0.0,543.57,1600.0,62.0,17937.581,2017,2011-08-01,,2018-08-01,MALE,92343V10,Wireless Telecommunications Carriers (except Satel,4812,215926.6647,Large,47d2bdd790026e0edf1c89ac10a1d143
278,2136,VZ,CEO,1661.538,0.0,12000.05,0.0,616.279,1661.538,63.0,18637.867,2018,2011-08-01,,2018-08-01,MALE,92343V10,Wireless Telecommunications Carriers (except Satel,4812,232302.8953,Large,a0b28b6bafa4630d2d195928b8eab5ae
279,2136,VZ,CEO,1500.0,0.0,12000.076,0.0,470.279,1500.0,54.0,18095.355,2019,2018-08-01,,,MALE,92343V10,Wireless Telecommunications Carriers (except Satel,4812,253939.8392,Large,6676a8ddcdcb0a7c051dc5199deec6cc
282,2176,BRK.B,CEO,100.0,0.0,0.0,0.0,323.923,100.0,82.0,423.923,2012,1970-01-01,1965-01-01,,MALE,08467070,Conglomerates,9997,220625.7545,Large,6a3c8a7bf75235df0044d3354aa41988
283,2176,BRK.B,CEO,100.0,0.0,0.0,0.0,385.606,100.0,83.0,485.606,2013,1970-01-01,1965-01-01,,MALE,08467070,Conglomerates,9997,292404.7315,Large,582275b62b1271c889c57148938bd937
288,2176,BRK.B,CEO,100.0,0.0,0.0,0.0,288.968,100.0,88.0,388.968,2018,1970-01-01,1965-01-01,,MALE,08467070,Conglomerates,9997,502273.8156,Large,b27ec866f2b741a0dcf0a5b17567d0b3
421,2968,JPM,CEO,1500.0,0.0,10000.0,0.0,291.833,1500.0,57.0,11791.833,2013,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,219657.1958,Large,b04140fc2656074530ff65f2eb49a5bf
422,2968,JPM,CEO,1500.0,7400.0,18500.0,0.0,245.893,8900.0,58.0,27645.893,2014,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,232471.4956,Large,0d220067d5abcd0339cd0d81be11fda7
423,2968,JPM,CEO,1500.0,5000.0,11100.0,0.0,621.06,6500.0,59.0,18221.06,2015,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,241899.2543,Large,00520878f7495165641b8b873cb8e04e
424,2968,JPM,CEO,1500.0,5000.0,20500.0,0.0,205.551,6500.0,60.0,27205.551,2016,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,307295.0851,Large,655d80b953dde7c14a0298c254c5e7df
425,2968,JPM,CEO,1500.0,5000.0,21500.0,0.0,286.228,6500.0,61.0,28286.228,2017,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,366301.582,Large,67c9aeed86f5cbabcf6d9f19f9878735
426,2968,JPM,CEO,1500.0,5000.0,23000.0,0.0,520.139,6500.0,62.0,30020.139,2018,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,319780.2769,Large,a0392c66e0978d1674dd7f69a59cd462
427,2968,JPM,CEO,1500.0,5000.0,24500.0,0.0,578.246,6500.0,63.0,31578.246,2019,2005-12-31,,,MALE,46625H10,Commercial Banking,6020,429912.5274,Large,a14e938e3d624b4514ab33e194ea2b74
429,2991,CVX,CEO,1570.833,0.0,5064.68,7221.6,277.397,1570.833,55.0,18134.51,2011,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,210796.1688,Large,638d1af57cf815c051d0c559b134f490
430,2991,CVX,CEO,1670.833,0.0,7095.66,9807.0,225.435,1670.833,56.0,22278.928,2012,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,210515.9217,Large,beff6b29d3d29bbf60cbe96f04e677be
431,2991,CVX,CEO,1770.833,0.0,5807.79,9228.96,231.911,1770.833,57.0,20239.494,2013,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,239028.1507,Large,27fb7ec22aca8f20027671e53caca76d
432,2991,CVX,CEO,1825.5,0.0,4816.5,8586.24,277.785,1825.5,58.0,18606.025,2014,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,210859.0248,Large,24e9dce71192586967af82b002170fcd
434,2991,CVX,CEO,1863.5,0.0,5397.824,9194.544,210.794,1863.5,60.0,18763.062,2016,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,222630.3739,Large,a83005249977e72ef54f8f54b077edb1
435,2991,CVX,CEO,1863.5,0.0,12140.826,3830.0,214.818,1863.5,61.0,21799.144,2017,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,238449.6434,Large,6f33c552cf9edc4ca8a4428b2428c0cc
