Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
4,1045,AAL,CEO,687.884,0.0,7000.0,0.0,414.092,687.884,52.0,12301.976,2014,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,37405.5843,Medium,71f0bef52756d54e79174a8d3b1732d0
5,1045,AAL,CEO,231.538,0.0,10330.0,0.0,469.559,231.538,53.0,11418.547,2015,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,26452.7417,Medium,700055cd057a6bb3a7d0248976cabdc1
6,1045,AAL,CEO,0.0,0.0,11000.0,0.0,140.763,0.0,54.0,11140.763,2016,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,23685.5569,Medium,aade04f5902b9dfacb175c61d686a2ce
7,1045,AAL,CEO,0.0,0.0,11974.0,0.0,201.486,0.0,55.0,12175.486,2017,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,24740.6812,Medium,56934b94d73da2a355d8bf8b820062c9
8,1045,AAL,CEO,0.0,0.0,11939.0,0.0,60.517,0.0,56.0,11999.517,2018,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,14790.2192,Medium,98cf731e7088b235ae3884d10e7ad68c
9,1045,AAL,CEO,0.0,0.0,11508.0,0.0,63.714,0.0,57.0,11571.714,2019,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,12280.862,Medium,a1a3c443d2ca9f29c6fe2eeac9629822
19,1075,PNW,CEO,1308.521,0.0,4451.654,0.0,49.057,1308.521,64.0,9560.511,2019,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,10111.3695,Medium,f1e220afeba125735e00f837a37394b2
20,1078,ABT,CEO,1893.371,0.0,10897.0,2725.8,807.728,1893.371,55.0,20023.899,2010,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,74116.0034,Medium,bbbfaada5af8762caea55f022692ecc4
21,1078,ABT,CEO,1900.0,0.0,9759.558,1835.981,896.283,1900.0,56.0,18591.822,2011,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,88302.4112,Medium,08c91b3f51b06aae956ceff6ff2c4463
22,1078,ABT,CEO,1900.0,0.0,9429.176,2057.0,869.713,1900.0,57.0,18955.889,2012,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,103271.6885,Medium,0b998a15fc398a611534a6568e5b0f33
23,1078,ABT,CEO,1900.0,0.0,7337.4,7062.22,1079.895,1900.0,58.0,20529.515,2013,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,59338.5963,Medium,78ea8691cb78793148c6874d12c8beae
24,1078,ABT,CEO,1973.077,0.0,4649.999,4649.997,1106.436,1973.077,59.0,16179.509,2014,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,67891.7357,Medium,92ef210b8ae4b2db60cc68bff01da62e
25,1078,ABT,CEO,1900.0,0.0,6247.971,6249.997,1091.506,1900.0,60.0,18789.474,2015,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,66137.3852,Medium,0572ab93af93559a7432cdb6a45964c1
26,1078,ABT,CEO,1900.0,0.0,5249.288,5249.999,825.589,1900.0,61.0,16424.876,2016,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,56572.8983,Medium,24fee2288b711a7c716975117e030244
27,1078,ABT,CEO,1900.0,0.0,4099.523,4099.998,1020.596,1900.0,62.0,15620.117,2017,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,99507.3661,Medium,252f396eda49715a7565b98442fb5f18
28,1078,ABT,CEO,1900.0,0.0,7499.367,7499.996,1193.342,1900.0,63.0,22872.393,2018,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,126983.9223,Medium,9adde6c185f30bffb8733efef524add1
29,1078,ABT,CEO,1900.0,0.0,7562.448,7562.499,664.409,1900.0,64.0,22094.981,2019,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,153091.0106,Medium,cbc8f51953421d19c35a85ceddb83c9d
36,1161,AMD,CEO,886.34,0.0,7983.393,2408.12,14.266,886.34,46.0,11724.775,2016,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,10602.9,Medium,80efe44ce11e90adade53808f4d668c0
38,1161,AMD,CEO,961.057,0.0,8622.801,2500.318,30.591,961.057,48.0,13356.393,2018,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,18552.3,Medium,0be7b602792d019a2e62da5aaf2f48e9
39,1161,AMD,CEO,1026.442,0.0,53176.357,3087.749,15.264,1026.442,49.0,58534.289,2019,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,53656.2,Medium,fd076a353aa3d5f3d57e254555b92a26
40,1209,APD,CEO,1200.0,0.0,3849.914,3653.323,162.688,1200.0,56.0,11620.529,2010,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17707.1645,Medium,3828e079191c497f7523e47e27d06795
41,1209,APD,CEO,1200.0,0.0,4024.841,3457.048,142.91,1200.0,57.0,11383.764,2011,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,16051.8285,Medium,8c795eb96d30924ab9e38f479e2f24d8
42,1209,APD,CEO,1200.0,0.0,3599.997,3370.028,164.983,1200.0,58.0,9255.356,2012,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17571.7652,Medium,46d13353bbdb90da5aeb14cfe4dc3979
43,1209,APD,CEO,1200.0,0.0,4062.39,3516.569,154.929,1200.0,59.0,9976.558,2013,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,22505.346,Medium,f2b2113a34068c1d0eea5a4bcf06eecb
44,1209,APD,CEO,904.615,1000.0,0.0,0.0,9843.778,1904.615,60.0,11768.072,2014,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,27798.507,Medium,d58e3e7ade576be9f18886d4130ecdee
45,1209,APD,CEO,1200.0,0.0,6947.086,1505.563,184.385,1200.0,71.0,12958.113,2015,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,27475.5012,Medium,950367178a550ffee53aa2363e009f1b
46,1209,APD,CEO,1200.0,0.0,6839.951,0.0,251.592,1200.0,72.0,11535.833,2016,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,32676.5493,Medium,0d7d844f2a7db834269cbb7802bfe1d5
47,1209,APD,CEO,1200.0,0.0,9194.498,0.0,283.476,1200.0,73.0,13959.766,2017,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,33018.2821,Medium,ca8ac58efdfab8a10458b85849bc1163
48,1209,APD,CEO,1309.615,0.0,9788.563,0.0,265.398,1309.615,74.0,13941.507,2018,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,36670.1478,Medium,8990082838e2df61ff65d58cbc51985f
49,1209,APD,CEO,1350.0,0.0,12842.935,0.0,401.722,1350.0,75.0,17031.957,2019,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,48901.2719,Medium,f4cbb491d8f5508a98fe86e4756b3ff5
55,1230,ALK,CEO,454.254,0.0,1621.307,391.295,202.895,454.254,54.0,3601.753,2015,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,10077.8393,Medium,d583c93270b970e83b9bac89b128b7b1
56,1230,ALK,CEO,487.6,0.0,1817.951,412.499,206.027,487.6,55.0,3886.411,2016,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,10942.8934,Medium,4dd0e0aad9475a7f5a76d1b5df7a5fa2
60,1300,HON,CEO,1800.0,4300.0,0.0,8483.5,228.929,6100.0,57.0,15216.953,2010,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,41624.28,Medium,97938ae30240ad390fce2da1e1f14477
61,1300,HON,CEO,1800.0,4300.0,0.0,9849.75,428.499,6100.0,58.0,35813.31,2011,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,42104.945,Medium,8d895a320b05793d45b2e78153cf4e7f
