Unnamed: 0,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
0,1045,AAL,69.452,8.349,0.0,37.0,24.103,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2010,2010,902.555,123.658,0.0,461.0,273.774,0.0,2597.5755,Small,ffe4d6d691375ee0e939ec86d72f3b78
1,1045,AAL,70.314,13.503,0.0,43.0,13.811,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2011,2010,902.555,123.658,0.0,461.0,273.774,0.0,117.3438,Small,63f4dd515a311f307bf8d3d91818d1eb
2,1045,AAL,47.951,0.951,0.0,47.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2012,2010,902.555,123.658,0.0,461.0,273.774,0.0,266.5571,Small,2c9fe7f43ef8ac17cd988987a5bd8dd1
3,1045,AAL,0.0,0.0,0.0,0.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2013,2010,902.555,123.658,0.0,461.0,273.774,0.0,6591.9923,Small,3d32182f07edbe58059a3d2a82bf1af5
10,1075,PNW,197.227,0.135,0.0,81.333,72.123,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2010,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,4508.5165,Small,7c66053563ee69cbede9dd48add03a40
11,1075,PNW,219.425,0.069,0.0,80.0,76.625,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2011,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5263.4723,Small,834717282fb722db5e2f42ce856b4bbb
12,1075,PNW,257.247,0.075,0.0,88.333,89.51,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2012,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5594.6981,Small,e5d48030d1b4e68e2f629d25c8c522ff
13,1075,PNW,252.04,0.055,0.0,92.5,91.294,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2013,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5830.8314,Small,97b6c9a68ee1f3e67dcc975836618be6
14,1075,PNW,294.693,0.0,0.0,102.5,99.953,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2014,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,7553.105,Small,ab291a024eb35d5d35d68796819a62b5
15,1075,PNW,315.403,0.0,0.0,107.5,100.279,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2015,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,7155.9904,Small,21578bc0063538927bd9517d50c2d8e6
16,1075,PNW,312.782,0.0,0.0,110.833,106.762,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2016,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,8687.6261,Small,deb2a9b80f4226ca7cf858f9f3a998e8
17,1075,PNW,334.892,0.0,0.0,112.5,110.255,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2017,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,9519.0354,Small,ca6a86e116f5b849b3c9297ab5da3783
18,1075,PNW,359.737,0.0,0.0,117.5,119.58,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2018,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,9551.0904,Small,f7f7abe56ae4d54f65a62113fbb5e944
30,1161,AMD,298.531,0.0,0.0,71.0,227.531,0.0,SP,00790310,ADVANCED MICRO DEVICES,2010,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,5586.94,Small,baf007aeae8c661278eb2ccdffe059d6
31,1161,AMD,304.891,0.0,0.0,66.2,238.691,0.0,SP,00790310,ADVANCED MICRO DEVICES,2011,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,3769.2,Small,bc6f1261298bac46e8a349661e7c0e8c
32,1161,AMD,135.67,0.0,0.0,21.667,114.003,0.0,SP,00790310,ADVANCED MICRO DEVICES,2012,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,1711.2,Small,eac3e686866c33f421209e86eb811906
33,1161,AMD,221.107,0.0,0.0,54.167,166.94,0.0,SP,00790310,ADVANCED MICRO DEVICES,2013,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2805.75,Small,e48482c4fab5bcd451306ae43f1ea87e
