Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
0,1045,AAL,CEO,669.646,0.0,3280.68,1185.94,94.66,669.646,51.0,5231.393,2010,2003-04-25,,2011-11-28,MALE,02376R10,Scheduled Passenger Air Transportation,4512,2597.5755,Small,645bcd0e850075f48a7ba136945a6a08
1,1045,AAL,CEO,613.842,0.0,4020.38,798.6,93.996,613.842,52.0,5526.835,2011,2003-04-25,,2011-11-28,MALE,02376R10,Scheduled Passenger Air Transportation,4512,117.3438,Small,bb795ace47922d5a7519d44ca3dbcc86
2,1045,AAL,CEO,618.135,0.0,0.0,0.0,37.458,618.135,50.0,656.226,2012,2011-11-28,,2013-12-09,MALE,02376R10,Scheduled Passenger Air Transportation,4512,266.5571,Small,43531710f52c752cbeea9ef747e908ac
3,1045,AAL,CEO,591.911,0.0,4199.761,0.0,13117.484,591.911,51.0,19092.978,2013,2011-11-28,,2013-12-09,MALE,02376R10,Scheduled Passenger Air Transportation,4512,6591.9923,Small,64855fa7246f66fbe28bfacacd9dbde4
10,1075,PNW,CEO,960.0,0.0,2350.004,0.0,21.473,960.0,55.0,4804.487,2010,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,4508.5165,Small,e61d82047fa65608ea53851c1f53f6e5
11,1075,PNW,CEO,1091.0,0.0,3900.218,0.0,25.242,1091.0,56.0,6697.916,2011,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5263.4723,Small,08334a6560d8fb346f9fefacf7db6c91
12,1075,PNW,CEO,1146.0,0.0,7100.295,0.0,26.644,1146.0,57.0,10122.665,2012,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5594.6981,Small,81d709ec83f505fc6169503d9133404c
13,1075,PNW,CEO,1203.3,0.0,4000.235,0.0,26.344,1203.3,58.0,7123.873,2013,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5830.8314,Small,a3fb98e4ef9dc85c83e33c8a1575d712
14,1075,PNW,CEO,1240.0,0.0,4199.976,0.0,26.729,1240.0,59.0,7376.177,2014,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,7553.105,Small,19abea3cf40c8cd19a3a0a9cfdf50630
15,1075,PNW,CEO,1277.0,0.0,4400.029,0.0,27.183,1277.0,60.0,7833.951,2015,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,7155.9904,Small,11c400a273ff024e711520b44314ef8a
16,1075,PNW,CEO,1315.0,0.0,5908.828,0.0,25.675,1315.0,61.0,9240.37,2016,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,8687.6261,Small,491906f2c84f86d578cea334059ab246
17,1075,PNW,CEO,1355.0,0.0,4374.133,0.0,27.41,1355.0,62.0,8161.669,2017,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,9519.0354,Small,59bba37fbeb3fbc1fbd226dae0b35e14
18,1075,PNW,CEO,1395.0,0.0,4370.322,0.0,27.965,1395.0,63.0,9935.099,2018,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,9551.0904,Small,79974be2e56cd0c50622b1d0ba556c9e
30,1161,AMD,CEO,925.381,0.0,2530.0,2084.128,10.329,925.381,48.0,5549.838,2010,2008-07-01,1995-01-01,2011-01-10,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,5586.94,Small,7f22e0d38dc6da977747d3ad80f33d82
31,1161,AMD,CEO,566.046,746.0,1150.305,1079.262,14.902,1312.046,48.0,3784.46,2011,2011-01-10,,2011-08-01,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,3769.2,Small,0a1dccbc277442bdb92dc8c45b4f8175
32,1161,AMD,CEO,1000.002,0.0,3744.848,1596.407,388.571,1000.002,51.0,7298.328,2012,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,1711.2,Small,d2917d9ae4e14974a39880e43896c284
33,1161,AMD,CEO,1000.002,0.0,4891.25,1582.411,32.827,1000.002,52.0,8211.49,2013,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2805.75,Small,189d3756ca8c11ad94962e6b5137abbe
34,1161,AMD,CEO,1000.002,0.0,5073.165,1617.085,39.293,1000.002,53.0,7729.545,2014,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2071.92,Small,b2b434f8e7967edbdd9fadb3ebf8df10
35,1161,AMD,CEO,849.992,300.0,4438.124,1804.858,25.412,1149.992,45.0,6559.194,2015,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,2273.04,Small,ee4eca921542c869476dd5736c6ec349
37,1161,AMD,CEO,924.997,0.0,6980.74,1897.77,14.614,924.997,47.0,10894.82,2017,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,9940.76,Small,7b3f881a6d349d0f0601f7b7fb7f5b6c
50,1230,ALK,CEO,395.385,0.0,1120.197,697.052,93.785,395.385,55.0,3051.7328,2010,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2036.5316,Small,5e7456dee8a373787cc9345bee6fcf06
51,1230,ALK,CEO,410.154,0.0,821.42,425.571,93.209,410.154,56.0,2303.931,2011,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2663.8178,Small,a677a6ad99045db120e8ae5001531609
52,1230,ALK,CEO,419.614,0.0,3160.012,442.002,102.008,419.614,51.0,4226.832,2012,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,3032.5449,Small,edf9c2d92aeb40df3061a02988666c21
53,1230,ALK,CEO,425.0,0.0,1062.879,556.715,62.038,425.0,52.0,2753.597,2013,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,5043.894,Small,55e10ec94f40cdbf399cc1c598fc102f
54,1230,ALK,CEO,436.769,0.0,975.541,460.48,199.954,436.769,53.0,2947.282,2014,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,7857.3046,Small,e8d5bd509ec5efc0169264df6fb07563
57,1230,ALK,CEO,534.616,0.0,2762.366,673.44,268.898,534.616,56.0,5238.064,2017,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,9046.2141,Small,a56c090952608c2ef07ec0c5b55a9c15
58,1230,ALK,CEO,563.846,0.0,1961.616,640.666,227.213,563.846,57.0,4374.845,2018,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,7496.3549,Small,0305e68a8d88f5f37aecffc1b6dfccfb
59,1230,ALK,CEO,583.846,0.0,2212.188,712.749,215.23,583.846,58.0,4718.444,2019,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,8333.25,Small,124479c00e40c6503ba47628ffe61716
70,1327,SWKS,CEO,609.0,0.0,1508.75,1109.614,12.879,609.0,53.0,4346.753,2010,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,3726.0362,Small,dc889460113de992c90a0f7cc846d8a8
71,1327,SWKS,CEO,635.1,0.0,2856.0,1549.862,12.88,635.1,54.0,5935.947,2011,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,3347.4926,Small,5dc721232abb7abd72094908231aa058
72,1327,SWKS,CEO,657.523,0.0,1717.2,1310.91,13.948,657.523,55.0,3943.853,2012,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,4530.4938,Small,3fdc20cd812dd93ddac086d2da8218c3
73,1327,SWKS,CEO,677.846,0.0,2482.48,1634.185,14.435,677.846,56.0,5800.648,2013,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,4667.436,Small,09b34dca49d36029008c71c7538fd3ae
130,1598,AME,CEO,1000.0,400.0,2419.443,1696.859,442.782,1400.0,61.0,7559.084,2010,1999-09-01,1990-11-01,,MALE,03110010,Instruments and Related Products Manufacturing for,3823,6307.8283,Small,d7d5ea523e1fadc96296b7b570a11136
131,1598,AME,CEO,1040.0,416.0,1664.328,1142.362,443.138,1456.0,62.0,6307.428,2011,1999-09-01,1990-11-01,,MALE,03110010,Instruments and Related Products Manufacturing for,3823,6751.6612,Small,aafb513ee59dca5d4ffc279e3599ce3b
132,1598,AME,CEO,1082.0,432.8,1822.69,1627.342,378.615,1514.8,63.0,6398.305,2012,1999-09-01,1990-11-01,,MALE,03110010,Instruments and Related Products Manufacturing for,3823,9144.3502,Small,3a7841296981243c1fe486ae73c6f290
168,1678,APA,CEO,1300.0,0.0,9488.299,1589.243,496.775,1300.0,51.0,15201.446,2018,2015-01-20,,,MALE,03743Q10,Oil and Gas Extraction,1311,9835.77,Small,82e9d8f9457ceacb54c44a2ff93ffa47
169,1678,APA,CEO,1300.0,0.0,10974.484,0.0,589.836,1300.0,52.0,14287.301,2019,2015-01-20,,,MALE,03743Q10,Oil and Gas Extraction,1311,9623.4522,Small,20acbbf372670a7526f1b74615083416
200,1878,ADSK,CEO,920.769,0.0,0.0,3704.727,6.184,920.769,53.0,6060.68,2010,2006-05-01,1993-09-01,2017-02-08,MALE,05276910,Internet Publishing and Broadcasting and Web Searc,7370,9234.36,Small,03e9e663778160960b4467b213e33321
201,1878,ADSK,CEO,945.192,0.95,8762.0,4386.87,4.202,946.142,54.0,15399.214,2011,2006-05-01,1993-09-01,2017-02-08,MALE,05276910,Internet Publishing and Broadcasting and Web Searc,7370,8132.4,Small,5a65a2795ddbaaad63b1df4bff152c19
202,1878,ADSK,CEO,991.0,1142.213,7269.0,0.0,4.196,2133.213,55.0,9406.409,2012,2006-05-01,1993-09-01,2017-02-08,MALE,05276910,Internet Publishing and Broadcasting and Web Searc,7370,8693.568,Small,75fa0283e8d2567011faeb5788850ed7
220,1913,AVY,CEO,965.0,0.0,1010.217,3822.16,145.073,965.0,55.0,8094.609,2010,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,4462.2973,Small,28a49032f9b97ae307df03117d8467ee
221,1913,AVY,CEO,1018.333,0.0,1766.94,2357.5,175.797,1018.333,56.0,5325.609,2011,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,3047.8236,Small,f0abe068ab120f4564c8ca5abb72e778
222,1913,AVY,CEO,1040.0,0.0,3355.484,1298.306,287.334,1040.0,57.0,7936.454,2012,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,3489.0318,Small,1a1d3a6df8bfaa2a57db8efd62502825
223,1913,AVY,CEO,1063.25,0.0,5026.511,0.0,169.19,1063.25,58.0,8469.862,2013,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,4827.1738,Small,c0745feb3329ca6d6f7a5b5acbe61824
224,1913,AVY,CEO,1095.0,0.0,4924.387,0.0,279.486,1095.0,59.0,7332.591,2014,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,4693.0129,Small,06f718eb014b95a4f59f1289c882fba5
225,1913,AVY,CEO,1119.545,0.0,5241.657,0.0,296.647,1119.545,60.0,8565.339,2015,2005-05-02,,2016-05-01,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,5637.3949,Small,84e1889ea051e9ee3d333386d28a9d44
226,1913,AVY,CEO,988.333,0.0,4694.582,2000.008,152.978,988.333,45.0,9668.521,2016,2016-05-01,,,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,6201.058,Small,78b46bdf000dc3798c88b031f8ad0bb7
228,1913,AVY,CEO,1133.0,0.0,5580.651,0.0,254.058,1133.0,47.0,8709.697,2018,2016-05-01,,,MALE,05361110,Paper Bag and Coated and Treated Paper Manufacturi,2670,7610.7569,Small,f8fe2b36ef99bb15f2dbaf66a33524db
230,1988,BALL,CEO,1155.0,0.0,2345.925,1812.6,63.16,1155.0,64.0,10078.996,2010,2001-01-01,1970-01-01,2011-01-26,MALE,05849810,Metal Can Manufacturing,3411,5857.676,Small,881b9d20c375979e08e23f49b8bc13c4
231,1988,BALL,CEO,896.635,0.0,2689.219,1680.526,184.615,896.635,46.0,8061.982,2011,2011-01-26,,2022-04-27,MALE,05849810,Metal Can Manufacturing,3411,5724.8844,Small,aecedee112f65d581ebaf7d93f78a7c4
232,1988,BALL,CEO,973.558,0.0,2103.66,1991.84,692.373,973.558,47.0,9091.413,2012,2011-01-26,,2022-04-27,MALE,05849810,Metal Can Manufacturing,3411,6700.3728,Small,1f69a271109df54bcddbef5aa17a49cb
233,1988,BALL,CEO,1121.538,0.0,1929.06,1585.056,190.28,1121.538,48.0,7700.072,2013,2011-01-26,,2022-04-27,MALE,05849810,Metal Can Manufacturing,3411,7341.8159,Small,8c4b6753912f0036f9be2074ae4b4092
234,1988,BALL,CEO,1149.327,0.0,1933.358,1746.18,84.686,1149.327,49.0,9174.415,2014,2011-01-26,,2022-04-27,MALE,05849810,Metal Can Manufacturing,3411,9336.9722,Small,942b225ac8a96ac21d8c3edb481dc692
