gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,bkvlps,capx,ceql,csho,dltt,dt,dvp,ebitda,emp,lct,lt,ni,ppegt,pstkl,revt,seq,teq,xad,xrd,cik,costat,dvpsp_f,mkvalt,prcc_f,gsector,naics,ipodate
001045,2010-12-31,2010,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,6838.0000,25088.0000,-11.8309,1962.0000,-3945.0000,333.4500,9253.0000,11136.0000,0.0000,1303.0000,78.2500,8780.0000,29033.0000,-471.0000,26717.0000,0.0000,22170.0000,-3945.0000,-3945.0000,165.0000,,0000006201,A,0.0000,2597.5755,7.7900,20,481111,
001045,2011-12-31,2011,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,6757.0000,23848.0000,-21.2099,1610.0000,-7111.0000,335.2680,6702.0000,8220.0000,0.0000,695.0000,80.1000,8630.0000,30959.0000,-1979.0000,24854.0000,0.0000,24022.0000,-7111.0000,-7111.0000,186.0000,,0000006201,A,0.0000,117.3438,0.3500,20,481111,
001045,2012-12-31,2012,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,7072.0000,23510.0000,-23.8210,1888.0000,-7987.0000,335.2920,7116.0000,8535.0000,0.0000,1434.0000,77.7500,9304.0000,31497.0000,-1876.0000,24233.0000,0.0000,24855.0000,-7987.0000,-7987.0000,153.0000,,0000006201,A,0.0000,266.5571,0.7950,20,481111,
001045,2013-12-31,2013,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,14323.0000,42278.0000,-10.4608,3114.0000,-2731.0000,261.0690,15353.0000,16799.0000,0.0000,2956.0000,110.4000,13806.0000,45009.0000,-1834.0000,30392.0000,0.0000,26712.0000,-2731.0000,-2731.0000,166.0000,,0000006201,A,0.0000,6591.9923,25.2500,20,481111,
001045,2014-12-31,2014,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,12112.0000,43771.0000,2.8976,5311.0000,2021.0000,697.4750,16196.0000,17904.0000,0.0000,6585.0000,113.3000,13435.0000,41750.0000,2882.0000,35343.0000,0.0000,42650.0000,2021.0000,2021.0000,100.0000,,0000006201,A,0.2000,37405.5843,53.6300,20,481111,
001045,2015-12-31,2015,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,9985.0000,48415.0000,9.0215,6151.0000,5635.0000,624.6220,18330.0000,20561.0000,0.0000,8891.0000,118.5000,13605.0000,42780.0000,7610.0000,40654.0000,0.0000,40990.0000,5635.0000,5635.0000,110.0000,,0000006201,A,0.4000,26452.7417,42.3500,20,481111,
001045,2016-12-31,2016,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,10324.0000,51274.0000,7.4612,5731.0000,3785.0000,507.2940,22489.0000,24344.0000,0.0000,7833.0000,122.3000,13872.0000,47489.0000,2676.0000,45353.0000,0.0000,40180.0000,3785.0000,3785.0000,116.0000,,0000006201,A,0.4000,23685.5569,46.6900,20,481111,
001045,2017-12-31,2017,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,9146.0000,51396.0000,8.2564,5971.0000,3926.0000,475.5080,22511.0000,25065.0000,0.0000,6809.0000,126.6000,14964.0000,47470.0000,1919.0000,49802.0000,0.0000,42207.0000,3926.0000,3926.0000,135.0000,,0000006201,A,0.4000,24740.6812,52.0300,20,481111,
001045,2018-12-31,2018,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,8637.0000,60580.0000,-0.3669,3745.0000,-169.0000,460.6110,29081.0000,34029.0000,0.0000,5606.0000,128.9000,18096.0000,60749.0000,1412.0000,60692.0000,0.0000,44541.0000,-169.0000,-169.0000,128.0000,,0000006201,A,0.4000,14790.2192,32.1100,20,481111,
001045,2019-12-31,2019,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,8206.0000,59995.0000,-0.2756,4268.0000,-118.0000,428.2030,28875.0000,33444.0000,0.0000,6024.0000,133.7000,18311.0000,60113.0000,1686.0000,62391.0000,0.0000,45768.0000,-118.0000,-118.0000,129.0000,,0000006201,A,0.4000,12280.8620,28.6800,20,481111,
001075,2010-12-31,2010,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,931.9300,12362.7030,33.8634,765.1520,3683.3270,108.7700,3045.7940,,0.0000,1138.4390,6.7400,1310.7360,8587.4770,350.0530,14206.4350,0.0000,3263.6450,3683.3270,3775.2260,,,0000764622,A,2.1000,4508.5165,41.4500,55,2211,
001075,2011-12-31,2011,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,956.4700,13111.0180,34.9839,902.7080,3821.8500,109.2460,3019.0540,,0.0000,1173.5620,6.6630,1342.7050,9180.4320,339.4730,14833.2390,0.0000,3241.3790,3821.8500,3930.5860,,,0000764622,A,2.1000,5263.4723,48.1800,55,2211,
001075,2012-12-31,2012,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,1005.7260,13379.6150,36.2010,904.5220,3972.8060,109.7430,3199.0880,,0.0000,1256.0910,6.6130,1083.5420,9277.3260,381.5420,15682.0110,0.0000,3301.8040,3972.8060,4102.2890,,,0000764622,A,2.1200,5594.6981,50.9800,55,2211,
001075,2013-12-31,2013,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,1043.6090,13508.6860,38.0686,1031.1830,4194.4700,110.1820,2796.4650,,0.0000,1262.0310,6.4330,1618.6440,9168.2260,406.0740,16561.1860,0.0000,3454.6280,4194.4700,4340.4600,,,0000764622,A,2.2025,5830.8314,52.9200,55,2211,
001075,2014-12-31,2014,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,973.4350,14313.5320,39.4994,926.0910,4367.4930,110.5710,3031.2150,,0.0000,1228.6000,6.3660,1559.1430,9794.4300,397.5950,16965.4300,0.0000,3491.6320,4367.4930,4519.1020,,,0000764622,A,2.2975,7553.1050,68.3100,55,2211,
001075,2015-12-31,2015,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,890.5160,15028.2580,41.3040,1092.3460,4583.9170,110.9800,3462.3910,,0.0000,1349.0240,6.4070,1442.3170,10308.8010,437.2570,17782.9310,0.0000,3495.4430,4583.9170,4719.4570,,,0000764622,A,2.4100,7155.9904,64.4800,55,2211,
001075,2016-12-31,2016,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,822.2190,16004.2530,43.1449,1295.4420,4803.6220,111.3370,4021.7850,,0.0000,1341.8130,6.3390,1292.9460,11068.3410,442.0340,18979.0910,0.0000,3498.6820,4803.6220,4935.9120,,,0000764622,A,2.5300,8687.6261,78.0300,55,2211,
001075,2017-12-31,2017,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,1016.2880,17019.0820,44.8018,1430.8860,5006.6900,111.7520,4789.7130,,0.0000,1468.5450,6.2920,1197.8520,11883.3520,488.4560,19702.0870,0.0000,3565.2960,5006.6900,5135.7300,,,0000764622,A,2.6600,9519.0354,85.1800,55,2211,
001075,2018-12-31,2018,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,924.9910,17664.2020,46.5907,1203.3490,5222.9150,112.1020,4638.2320,,0.0000,1356.0410,6.2590,1648.9640,12315.4970,511.0470,20515.8070,0.0000,3691.2470,5222.9150,5348.7050,,,0000764622,A,2.8225,9551.0904,85.2000,55,2211,
001075,2019-12-31,2019,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12,1030.0300,18479.2470,48.2999,1209.9750,5430.6480,112.4360,4884.4300,,0.0000,1262.8890,6.2100,2078.3650,12926.0590,538.3200,21402.1180,0.0000,3471.2090,5430.6480,5553.1880,,,0000764622,A,2.9950,10111.3695,89.9300,55,2211,
001078,2010-12-31,2010,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,22317.5290,59462.2660,14.4721,1015.0750,22388.1350,1546.9840,12523.5170,14568.4870,0.0000,10663.0860,90.0000,17262.4340,36985.8020,4626.1720,17374.3020,0.0000,35166.7210,22388.1350,22476.4640,,4037.6240,0000001800,A,1.7200,74116.0034,47.9100,35,334510,
001078,2011-12-31,2011,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,23768.7740,60276.8930,15.5630,1491.5000,24439.8330,1570.3790,12039.8220,13066.7180,0.0000,12040.3420,91.0000,15480.2280,35750.7480,4728.4490,18016.5650,0.0000,38851.2590,24439.8330,24526.1450,,4801.9140,0000001800,A,1.8800,88302.4112,56.2300,35,334510,
001078,2012-12-31,2012,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,31322.5830,67234.9440,16.9478,1795.2890,26720.9610,1576.6670,18085.3020,18394.1250,0.0000,12566.7220,91.0000,13280.1760,40421.7120,5962.9200,18928.8870,0.0000,39873.9100,26720.9610,26813.2320,,4610.1820,0000001800,A,2.0100,103271.6885,65.5000,35,334510,
001078,2013-12-31,2013,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,19247.0000,42953.0000,16.2593,1145.0000,25171.0000,1548.0980,3388.0000,3397.0000,0.0000,4393.0000,69.0000,9507.0000,17686.0000,2576.0000,12870.0000,0.0000,21848.0000,25171.0000,25267.0000,,1452.0000,0000001800,A,0.5600,59338.5963,38.3300,35,334510,
001078,2014-12-31,2014,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,15261.0000,41275.0000,14.2742,1077.0000,21526.0000,1508.0350,3408.0000,3463.0000,0.0000,4475.0000,77.0000,10532.0000,19636.0000,2284.0000,12632.0000,0.0000,20247.0000,21526.0000,21639.0000,,1345.0000,0000001800,A,0.8800,67891.7357,45.0200,35,334510,
001078,2015-12-31,2015,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,14155.0000,41247.0000,14.4031,1110.0000,21211.0000,1472.6650,5871.0000,5874.0000,0.0000,4844.0000,74.0000,9186.0000,19921.0000,4423.0000,12383.0000,0.0000,20405.0000,21211.0000,21326.0000,,1405.0000,0000001800,A,0.9600,66137.3852,44.9100,35,334510,
001078,2016-12-31,2016,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,26776.0000,52666.0000,13.9442,1121.0000,20538.0000,1472.8690,20681.0000,20684.0000,0.0000,4975.0000,75.0000,6660.0000,31949.0000,1400.0000,12366.0000,0.0000,20853.0000,20538.0000,20717.0000,,1422.0000,0000001800,A,1.0400,56572.8983,38.4100,35,334510,
001078,2017-12-31,2017,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,12,20147.0000,76250.0000,17.7202,1135.0000,30897.0000,1743.6020,27210.0000,27718.0000,0.0000,7017.0000,99.0000,8912.0000,45152.0000,477.0000,15265.0000,0.0000,27390.0000,30897.0000,31098.0000,,2235.0000,0000001800,A,1.0600,99507.3661,57.0700,35,334510,
