EXECRANK,CO_PER_ROL,CONAME,CEOANN,SALARY,BONUS,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,TERM_PYMT,TDC1,TDC2,SAL_PCT,TOTAL_CURR_PCT,TOTAL_SEC_PCT,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,TDC1_PCT,TDC2_PCT,RET_YRS,GVKEY,YEAR,BECAMECEO,JOINED_CO,REJOIN,LEFTOFC,LEFTCO,RELEFT,PCEO,REASON,EXEC_LNAME,EXEC_FNAME,GENDER,CUSIP,TICKER,SIC
,25016,HONEYWELL INTERNATIONAL INC,CEO,1800,4300,20154.012,6100,20154.012,17471.547,18039.42,15216.953,12534.488,0,238.889,52.414,52.414,572.976,15.078,83.021,,1300,2010,6/1/02,2/18/02,,3/31/17,,,,,Cote,David,MALE,43851610,HON,9997
,26784,HONEYWELL INTERNATIONAL INC,,900,1150,9159.621,2050,9159.621,3613.121,5445.576,7794.645,5338.895,0,127.778,40.417,40.417,-36.362,91.272,139.421,,1300,2010,,6/23/03,,,,,,,"Anderson, B.S., M.B.",David,MALE,43851610,HON,9997
,28530,HONEYWELL INTERNATIONAL INC,,1050,1300,8465.384,2350,8465.384,7623.676,21045.996,8065.006,6617.065,0,123.81,75.694,75.694,84.858,83.777,160.184,,1300,2010,,,,,,,,,Fradin,Roger,MALE,43851610,HON,9997
,38781,HONEYWELL INTERNATIONAL INC,,550,750,10092.186,1300,10092.186,2162.213,1715.405,9951.321,8888.804,0,136.364,269.409,269.409,100.379,285.337,531.195,,1300,2010,,,,,,,,,Kramvis,Andreas,MALE,43851610,HON,9997
,43254,HONEYWELL INTERNATIONAL INC,,660,700,6408.363,1360,6408.363,2523.048,2256.336,5695.716,3820.416,,,,,,,,,1300,2010,,,,,,,,,Mahoney,Timothy,MALE,43851610,HON,9997
,25016,HONEYWELL INTERNATIONAL INC,CEO,1800,4300,37842.723,6100,37842.723,58259.387,19778.764,35813.31,48902.696,0,0,87.768,87.768,233.453,135.351,290.145,,1300,2011,6/1/02,2/18/02,,3/31/17,,,,,Cote,David,MALE,43851610,HON,9997
,26784,HONEYWELL INTERNATIONAL INC,,900,1225,13080.225,2125,13080.225,11641.6,5447.155,11338.179,7886.929,0,3.659,42.803,42.803,222.203,45.461,47.726,,1300,2011,,6/23/03,,,,,,,"Anderson, B.S., M.B.",David,MALE,43851610,HON,9997
,28530,HONEYWELL INTERNATIONAL INC,,1050,1300,11824.093,2350,11824.093,10066.89,22249.883,11449.244,9692.041,0,0,39.676,39.676,32.048,41.962,46.47,,1300,2011,,,,,,,,,Fradin,Roger,MALE,43851610,HON,9997
,38781,HONEYWELL INTERNATIONAL INC,,623.846,875,7459.461,1498.846,7459.461,6840.806,2042.24,7316.182,5119.932,13.427,15.296,-26.087,-26.087,216.38,-26.48,-42.4,,1300,2011,,,,,,,,,Kramvis,Andreas,MALE,43851610,HON,9997
,43254,HONEYWELL INTERNATIONAL INC,,763.385,800,8381.043,1563.385,8381.043,6731.742,3018.902,7466.477,4830.977,15.664,14.955,30.783,30.783,166.81,31.089,26.452,,1300,2011,,,,,,,,,Mahoney,Timothy,MALE,43851610,HON,9997
,25016,HONEYWELL INTERNATIONAL INC,CEO,1800,4800,33247.178,6600,33247.178,84834.008,18925.1,16765.328,30072.388,0,8.197,-12.144,-12.144,45.614,-53.187,-38.506,,1300,2012,6/1/02,2/18/02,,3/31/17,,,,,Cote,David,MALE,43851610,HON,9997
