PCOMMFEES,PEXECDIRPD,PDIRPENSN,ANNDIRRET,DIRMTGFEE,NUMMTGS,DIRSTK,DIRSTKAD,DIROPT,DIROPTAD,SALES,SALECHG,SALE3LS,SALE5LS,OIBD,OIBDCHG,OIBD3LS,OIBD5LS,PRETAX,NIBEX,NI,NICHG,NI3LS,NI5LS,NIAC,EPSEX,EPSEXCHG,EPSEX3LS,EPSEX5LS,EPSIN,EPSINCHG,COMMEQ,SEQ,ROEPER,ROEAVG,ASSETS,ASSETCHG,ROA,MKTVAL,DIVYIELD,PRCCF,PRCC,SHRSOUT,TRS1YR,TRS3YR,TRS5YR,EMPL,AJEX,BS_VOLATILITY,BS_YIELD,SRCDATE,GVKEY,YEAR,FYR,NAICS,CONAME,CUSIP,TICKER,SIC
1,0,1,20,1,8,0,0,,0,14396,11.709,11.164,14.87,955,15.617,-10.433,0.987,-697,-475,-935,,,,-935,-6.35,,,,-12.49,,3349,3349,-14.183,-13.3,18706,15.412,-2.539,5089.5,0,67.5,67.5,37.7,-4.255,5.186,13.875,119.3,2,0.318,0,1993-04-02,001045,1992,12,481111,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,12,0,0,,0,15701,9.065,10.24,12.215,1731,81.257,28.732,5.598,-113,-96,-110,,,,-170,-2.05,,,,-2.23,,3195,4276,-4.883,-4.768,19326,3.314,-0.807,5078.6,0,67,67,37.9,-0.741,11.468,4.554,118.9,2,0.305,0,1994-03-31,001045,1993,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,8,0.2,0,,0,16137,2.777,7.785,9.017,2537,46.563,45.361,13.803,370,228,228,,,-12.899,343,4.51,,,-8.83,4.51,,3302,3380,5.209,5.295,19486,0.828,0.883,4041.675,0,53.25,53.25,37.95,-20.522,-8.93,-1.694,109.8,2,0.284,0,1995-03-31,001045,1994,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,9,0.2,0,,0,16910,4.79,5.512,7.608,2807,10.642,43.245,28.174,358,196,167,-26.754,,,162,2.48,-45.011,,,2.11,-53.215,3642,3720,5.244,5.501,19556,0.359,0.977,5672.7,0,74.25,74.25,38.2,39.437,3.228,8.947,110,2,0.265,0,1996-03-29,001045,1995,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,10,0.3,0,,0,17753,4.985,4.179,6.616,3069,9.334,21.032,30.018,1635,1105,1016,508.383,,,1016,12.64,409.677,,,11.63,451.185,5668,5668,19.495,23.738,20497,4.812,5.391,8019.375,0,88.125,88.125,45.5,18.687,9.566,4.564,111.3,2,0.252,0,1997-05-01,001045,1996,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,15,0.3,0,,0,18570,4.602,4.792,5.224,3170,3.291,7.708,27.119,1682,985,985,-3.051,62.867,,985,11.05,-12.579,34.812,,11.05,-4.987,6216,6216,15.846,16.577,20915,2.039,4.71,11127.972,0,128.5,128.5,43.3,45.816,34.131,13.742,113.9,2,0.255,0,1998-04-27,001045,1997,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,8,0.6,0,,0,19205,3.419,4.333,4.111,3625,14.353,8.898,15.932,2204,1306,1314,33.401,88.175,,1314,7.73,39.91,84.043,,7.78,40.814,6698,6698,19.498,20.226,22303,6.636,5.856,10826.616,0,59.375,59.375,161.351,-7.588,16.944,12.127,103.4,1,0.301,0,1999-03-30,001045,1998,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,,0.6,0,,0,17730,-7.68,-0.043,1.901,2248,-37.986,-9.857,-2.39,1006,656,985,-25.038,-15.955,23.536,985,4.3,-44.373,-12.047,13.78,6.46,-16.967,6858,6858,9.565,9.678,24374,9.286,2.691,9921.561,0,67,67,148.245,12.842,14.992,20.27,111.6,1,0.3,0,2000-04-25,001045,1999,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,8,1.422,0,1.185,0,19703,11.128,1.994,3.105,2583,14.902,-6.598,-1.65,1287,779,813,-17.462,-7.523,31.782,813,5.2,20.93,-2.001,33.204,5.43,-15.944,7176,7176,10.856,11.102,26213,7.545,2.972,5905.125,0,39.188,39.188,152.063,22.718,8.568,17.237,,1,0.407,0,2001-04-23,001045,2000,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,1,20,1,6,1.422,0,,0,18963,-3.756,-0.422,1.327,-456,,,,-2756,-1762,-1762,,,,-1762,-11.43,,,,-11.43,,5373,5373,-32.794,-28.082,32841,25.285,-5.365,3444.949,0,22.3,22.3,154.485,-43.094,-7.634,1.208,,1,0.47,0,2002-04-22,001045,2001,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,0,20,1,8,1.422,0.711,1.185,0,17299,-8.775,-0.817,-1.408,-1256,,,,-3860,-2523,-3511,,,,-3511,-16.22,,,,-22.57,,957,957,-263.636,-79.716,30267,-7.838,-8.336,1029.554,0,6.6,6.6,156.089,-70.404,-40.875,-26.43,109.6,1,0.68,0,2003-04-24,001045,2002,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
1,0,0,20,1,6,1.422,0.711,1.185,0,17440,0.815,-3.985,-1.91,582,,-39.149,-30.638,-1308,-1228,-1228,,,,-1228,-7.76,,,,-7.76,,46,46,-2669.565,-244.865,29330,-3.096,-4.187,2063.544,0,12.95,12.95,159.582,96.212,-30.863,-14.474,96.4,1,0.894,0,2004-04-23,001045,2003,12,,AMERICAN AIRLINES GROUP INC,02376R10,AAL,4512
