EXECRANK,CO_PER_ROL,CONAME,CEOANN,SALARY,BONUS,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,TERM_PYMT,TDC1,TDC2,SAL_PCT,TOTAL_CURR_PCT,TOTAL_SEC_PCT,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,TDC1_PCT,TDC2_PCT,RET_YRS,GVKEY,YEAR,BECAMECEO,JOINED_CO,REJOIN,LEFTOFC,LEFTCO,RELEFT,PCEO,REASON,EXEC_LNAME,EXEC_FNAME,GENDER,CUSIP,TICKER,SIC
,60,HONEYWELL INTERNATIONAL INC,CEO,1016.667,1250,,2266.667,,,,4684.207,3832.698,,,,,,,,1.6,001300,1992,2001-07-03,1991-07-01,2001-07-03,2002-02-01,2000-04-01,2002-07-01,,RETIRED,Bossidy,Lawrence,MALE,43851610,HON,9997
,61,HONEYWELL INTERNATIONAL INC,,758.333,670,,1428.333,,,,2705.72,2989.18,,,,,,,,36.9,001300,1992,,,,,1993-12-31,,,RETIRED,Belzer,Alan,MALE,43851610,HON,9997
,62,HONEYWELL INTERNATIONAL INC,,410,370,,780,,,,1691.782,2092.653,,,,,,,,23.3,001300,1992,,1969-01-01,,,1999-10-01,,,UNKNOWN,Poses,Frederic,MALE,43851610,HON,9997
,63,HONEYWELL INTERNATIONAL INC,,399.996,350,,749.996,,,,1483.473,969.69,,,,,,,,1.1,001300,1992,,,,,,,,,Reins,Ralph,MALE,43851610,HON,9997
,64,HONEYWELL INTERNATIONAL INC,,375,290,,665,,,,1681.452,1484.27,,,,,,,,10.7,001300,1992,,,,,,,,,Burnham,Daniel,MALE,43851610,HON,9997
,65,HONEYWELL INTERNATIONAL INC,,370,300,,670,,,,1267.024,1166.267,,,,,,,,16.8,001300,1992,,,,,1997-12-31,,,RETIRED,Barter,John,MALE,43851610,HON,9997
,4665,HONEYWELL INTERNATIONAL INC,,350,265,,615,,,,,971.29,,,,,,,,,001300,1992,,,,,,,,,Kreindler,Peter,MALE,43851610,HON,9997
,60,HONEYWELL INTERNATIONAL INC,CEO,1100,1500,,2600,,,,5603.236,6240.388,8.197,14.706,,,,19.62,62.82,2.6,001300,1993,2001-07-03,1991-07-01,2001-07-03,2002-02-01,2000-04-01,2002-07-01,,RETIRED,Bossidy,Lawrence,MALE,43851610,HON,9997
,61,HONEYWELL INTERNATIONAL INC,,765,775,,1540,,,,3102.084,4866.966,0.879,7.818,,,,14.649,62.819,37.9,001300,1993,,,,,1993-12-31,,,RETIRED,Belzer,Alan,MALE,43851610,HON,9997
,62,HONEYWELL INTERNATIONAL INC,,430,425,,855,,,,1994.432,2807.631,4.878,9.615,,,,17.889,34.166,24.3,001300,1993,,1969-01-01,,,1999-10-01,,,UNKNOWN,Poses,Frederic,MALE,43851610,HON,9997
,63,HONEYWELL INTERNATIONAL INC,,423.333,375,,798.333,,,,1865.934,1692.135,5.834,6.445,,,,25.781,74.503,2.1,001300,1993,,,,,,,,,Reins,Ralph,MALE,43851610,HON,9997
,64,HONEYWELL INTERNATIONAL INC,,392.5,340,,732.5,,,,2178.058,2420.417,4.667,10.15,,,,29.534,63.071,11.7,001300,1993,,,,,,,,,Burnham,Daniel,MALE,43851610,HON,9997
,65,HONEYWELL INTERNATIONAL INC,,387.5,345,,732.5,,,,1481.331,1569.041,4.73,9.328,,,,16.914,34.535,17.8,001300,1993,,,,,1997-12-31,,,RETIRED,Barter,John,MALE,43851610,HON,9997
,4665,HONEYWELL INTERNATIONAL INC,,367.5,305,,672.5,,,,,785.37,5,9.35,,,,,-19.142,,001300,1993,,,,,,,,,Kreindler,Peter,MALE,43851610,HON,9997
,60,HONEYWELL INTERNATIONAL INC,CEO,1625,2000,,3625,,,,34740.774,13247.099,47.727,39.423,,,,520.013,112.28,3.6,001300,1994,2001-07-03,1991-07-01,2001-07-03,2002-02-01,2000-04-01,2002-07-01,,RETIRED,Bossidy,Lawrence,MALE,43851610,HON,9997
,62,HONEYWELL INTERNATIONAL INC,,450,525,,975,,,,2713.49,2191.207,4.651,14.035,,,,36.053,-21.955,25.3,001300,1994,,1969-01-01,,,1999-10-01,,,UNKNOWN,Poses,Frederic,MALE,43851610,HON,9997
,64,HONEYWELL INTERNATIONAL INC,,416.67,390,,806.67,,,,2607.526,1025.983,6.158,10.126,,,,19.718,-57.611,12.7,001300,1994,,,,,,,,,Burnham,Daniel,MALE,43851610,HON,9997
,65,HONEYWELL INTERNATIONAL INC,,412.5,390,,802.5,,,,1851.248,902.322,6.452,9.556,,,,24.972,-42.492,18.8,001300,1994,,,,,1997-12-31,,,RETIRED,Barter,John,MALE,43851610,HON,9997
,4665,HONEYWELL INTERNATIONAL INC,,385,340,,725,,,,1678.921,1248.861,4.762,7.807,,,,,59.016,3,001300,1994,,,,,,,,,Kreindler,Peter,MALE,43851610,HON,9997
,60,HONEYWELL INTERNATIONAL INC,CEO,2000,2350,,4350,,,,5413.859,9469.409,23.077,20,,,,-84.416,-28.517,4.6,001300,1995,2001-07-03,1991-07-01,2001-07-03,2002-02-01,2000-04-01,2002-07-01,,RETIRED,Bossidy,Lawrence,MALE,43851610,HON,9997
,62,HONEYWELL INTERNATIONAL INC,,475,625,,1100,,,,9011.063,7311.662,5.556,12.821,,,,232.084,233.682,26.3,001300,1995,,1969-01-01,,,1999-10-01,,,UNKNOWN,Poses,Frederic,MALE,43851610,HON,9997
,64,HONEYWELL INTERNATIONAL INC,,450,445,,895,,,,8892.928,4616.72,7.999,10.95,,,,241.048,349.98,13.7,001300,1995,,,,,,,,,Burnham,Daniel,MALE,43851610,HON,9997
,65,HONEYWELL INTERNATIONAL INC,,450,400,,850,,,,8750.857,2127.165,9.091,5.919,,,,372.7,135.743,19.8,001300,1995,,,,,1997-12-31,,,RETIRED,Barter,John,MALE,43851610,HON,9997
,4665,HONEYWELL INTERNATIONAL INC,,410,380,,790,,,,2238.895,2043.2,6.494,8.966,,,,33.353,63.605,4,001300,1995,,,,,,,,,Kreindler,Peter,MALE,43851610,HON,9997
,13926,HONEYWELL INTERNATIONAL INC,,289.423,275,,564.423,,,,,960.402,,,,,,,,,001300,1995,,,,,,,,,Wallman,Richard,MALE,43851610,HON,9997
,60,HONEYWELL INTERNATIONAL INC,CEO,2000,2800,,4800,,,,5835.465,12840.49,0,10.345,,,,7.788,35.6,5.5,001300,1996,2001-07-03,1991-07-01,2001-07-03,2002-02-01,2000-04-01,2002-07-01,,RETIRED,Bossidy,Lawrence,MALE,43851610,HON,9997
,62,HONEYWELL INTERNATIONAL INC,,493.5,670,,1163.5,,,,1281.168,3362.663,3.895,5.773,,,,-85.782,-54.01,27.3,001300,1996,,1969-01-01,,,1999-10-01,,,UNKNOWN,Poses,Frederic,MALE,43851610,HON,9997
