EXECDIR,CO_PER_ROL,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,AGE,TDC1,TDC2,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,GVKEY,YEAR,TICKER
1,1,,600,,,,1013.471,1013.471,,,001045,1992,AAL
0,2,,468.75,,,,1470.664,1419.758,,,001045,1992,AAL
0,3,,468.75,,,,1477.225,1100.506,,,001045,1992,AAL
0,4,,343.75,,,,718.104,556.182,,,001045,1992,AAL
0,5,,343.75,,,,747.463,711.853,,,001045,1992,AAL
1,1,,600,,,58,1003.974,1003.974,,,001045,1993,AAL
0,2,,491.25,,,,1328.595,886.468,,,001045,1993,AAL
0,3,,491.25,,,,1328.696,886.569,,,001045,1993,AAL
0,4,,362.5,,,,693.602,573.726,,,001045,1993,AAL
0,5,,356.25,,,,691.359,774.483,,,001045,1993,AAL
0,8743,,304.063,,,,,494.131,,,001045,1993,AAL
1,1,,995,,,59,1410.361,1410.361,,,001045,1994,AAL
0,2,,734.4,,,,1639.159,1112.698,,,001045,1994,AAL
0,3,,765,,,,1667.467,1141.006,,,001045,1994,AAL
0,4,,532,,,,875.719,714.856,,,001045,1994,AAL
0,5,,375,,,,431.149,431.149,,,001045,1994,AAL
0,8743,,466,,,,,643.193,,,001045,1994,AAL
1,1,,1340.9,,,60,4741.184,3165.993,,,001045,1995,AAL
0,2,,871.711,,,,2202.033,1964.527,,,001045,1995,AAL
0,3,,998.835,,,,2556.812,1769.216,,,001045,1995,AAL
0,4,,635.005,,,,1145.182,1142.974,,,001045,1995,AAL
0,8743,,600.089,,,,1104.603,991.332,,,001045,1995,AAL
0,14221,,485.21,,,,,865.231,,,001045,1995,AAL
1,1,,1601.25,,,61,5894.28,4889.366,,,001045,1996,AAL
0,2,,856.75,,,,2707.323,2683.929,,,001045,1996,AAL
0,3,,1230,,,,3454.184,3062.076,,,001045,1996,AAL
0,4,,670.75,,,,1352.843,1711.726,,,001045,1996,AAL
0,8743,,623.583,,,,2505.249,1033.531,,,001045,1996,AAL
0,14221,,545.75,,,,,1057.071,,,001045,1996,AAL
0,16477,,610.75,,,,,956.666,,,001045,1996,AAL
1,1,,1766.667,,,62,8689.207,6620.723,,,001045,1997,AAL
0,2,,971.2,,,,4134.394,4919.317,,,001045,1997,AAL
0,3,,1296.083,,,,6472.712,6495.868,,,001045,1997,AAL
0,4,,737.8,,,,2085.383,2409.621,,,001045,1997,AAL
0,14221,,623.883,,,,2018.785,2210.598,,,001045,1997,AAL
0,16477,,656.883,,,,,1783.087,,,001045,1997,AAL
1,1,,2122.414,,,,2242.608,9205.105,,,001045,1998,AAL
1,3,,1773.198,,,52,14960.834,5278.04,,,001045,1998,AAL
0,4,,839.967,,,,2199.121,1792.544,,,001045,1998,AAL
0,14221,,749.833,,,,2129.229,1691.377,,,001045,1998,AAL
0,16477,,728.667,,,,2098.247,1660.395,,,001045,1998,AAL
0,2,,576.755,,,,4194.68,2898.704,,,001045,1999,AAL
1,3,,759.375,,,53,9630.349,4770.441,,,001045,1999,AAL
0,4,,454.363,,,,2220.854,1869.422,,,001045,1999,AAL
0,14221,,420.377,,,,2737.847,2025.06,,,001045,1999,AAL
0,16477,,408.443,,,,2723.115,2010.328,,,001045,1999,AAL
0,2,,1298.214,,,,6242.277,3053.308,,,001045,2000,AAL
1,3,,2124.375,,,54,10535.992,4523.911,,,001045,2000,AAL
0,4,,1037.31,,,,5672.342,2066.155,,,001045,2000,AAL
0,14221,,1037.209,,,,5752.562,1559.699,,,001045,2000,AAL
0,16477,,1037.132,,,,5756.705,1563.842,,,001045,2000,AAL
0,26083,,820.255,,,,,1011.861,,,001045,2000,AAL
0,26084,,806.944,,,,,1248.662,,,001045,2000,AAL
0,2,,611.785,,,,2228.361,3227.461,,,001045,2001,AAL
1,3,,585.813,,,55,8817.686,3762.116,,,001045,2001,AAL
0,4,,495.333,,,,1942.273,1597.704,,,001045,2001,AAL
0,14221,,495.333,,,,1959.311,1794.433,,,001045,2001,AAL
0,16477,,495.333,,,,1963.531,757.863,,,001045,2001,AAL
0,26083,,405.62,,,,,646.838,,,001045,2001,AAL
0,26084,,399.224,,,,,640.677,,,001045,2001,AAL
0,27708,,397.833,,,,,864.3,,,001045,2001,AAL
0,27709,,320.208,,,,,500.885,,,001045,2001,AAL
0,2,,212.867,,,,931.059,931.059,,,001045,2002,AAL
1,3,,811.125,,,56,10170.807,1109.323,,,001045,2002,AAL
0,4,,369.778,,,,3098.708,1586.759,,,001045,2002,AAL
0,14221,,580,,,,3740.938,580,,,001045,2002,AAL
0,16477,,520,,,,2031.949,520,,,001045,2002,AAL
0,26083,,425.819,,,,1577.78,425.819,,,001045,2002,AAL
0,26084,,419.104,,,,1574.036,422.075,,,001045,2002,AAL
0,27708,,420,,,,,508.742,,,001045,2002,AAL
0,27709,,406.245,,,,,406.245,,,001045,2002,AAL
0,27710,,338.428,,,,,526.573,,,001045,2002,AAL
1,3,,293.357,,,,795.377,795.377,,,001045,2003,AAL
1,14221,,535.275,,,45,686.295,686.295,,,001045,2003,AAL
0,16477,,467.275,,,,1324.412,618.295,,,001045,2003,AAL
0,26083,,385.102,,,,1043.912,505.918,,,001045,2003,AAL
0,27708,,380.025,,,,1061.935,523.941,,,001045,2003,AAL
0,27709,,368.024,,,,1026.834,488.84,,,001045,2003,AAL
0,27710,,412.674,,,,1443.336,743.453,,,001045,2003,AAL
0,29348,,345.954,,,,,411.396,,,001045,2003,AAL
0,29349,,315.2,,,,,380.642,,,001045,2003,AAL
1,14221,,518.837,,,46,1830.868,649.098,,,001045,2004,AAL
0,16477,,454.197,,,,1330.567,815.26,,,001045,2004,AAL
0,29347,,422.333,,,,1476.759,598.787,,,001045,2004,AAL
0,29348,,409.05,,,,906.285,507.781,,,001045,2004,AAL
0,29349,,419.15,,,,932.15,533.646,,,001045,2004,AAL
1,14221,,526.62,,,47,1783.282,854.83,,,001045,2005,AAL
0,16477,,479.349,,,,3178.999,2600.427,,,001045,2005,AAL
0,29347,,472.58,,,,1276.875,796.612,,,001045,2005,AAL
0,29348,,427.7,,,,2491.612,2241.249,,,001045,2005,AAL
0,29349,,431.85,,,,2495.762,2272.155,,,001045,2005,AAL
1,2621,,714.808,,,,1070.951,850.32,,,001075,1992,PNW
0,2622,,128.775,,,,195.072,150.946,,,001075,1992,PNW
0,2623,,153.084,,,,227.879,179.34,,,001075,1992,PNW
0,2624,,124.957,,,,,147.396,,,001075,1992,PNW
