signature_index,total_director_comp
23aab2a0740350a9fa4c4849bca0a7c6,2985.222
b90ea41d143726dde5b9d93d8ba2614d,2985.222
97b642b52ba42a744b57b0b524365cca,2605.182
355c536b47da9efaf006981c8b6d8a2f,2605.182
8d77c4fc9978ec10c2316c4ebd12ba5a,4848.138
6bf4ca8d115b4ef3e4ea0b9f74bb3d51,4848.138
4171c69976ae9efa9198b4c6b5db4cf0,4848.138
af409877360f201e6c896a8447701641,4974.504
4dc03933efdf4238f7d699ab27c73b5d,4974.504
1a140dc0f8fefb2714b9908aaea8d329,4974.504
335a8285ce6e55ffc5fd0abba713061b,2856.737
d9b32f4750a91ec4eabf3d5dd1a73791,2856.737
678c1a5d721c1486d8f22f5bf50fde68,2856.737
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
bf40e9fea803f6e1f24ba3ced2c09925,3070.071
4cc93b982c79311c7051e3dc277593a5,3070.071
3c8e7d4821c5479db90715df7aecaf9a,3070.071
2833c85aae83e4646f4caa28185ed058,2561.16
41620d2e655b69c915fc21eb5a60de08,2561.16
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
a0f9778a4c4d609a813b27f2bb179a32,4387.891
47dd40eeb7971894d9419e91ecdd59ca,4387.891
eaf7fbfe6704ffa97da0e02dbcc7c824,4387.891
39e7d155cdec0f2caabd1a3324baa961,2544.489
7445a7a84b85a7cc0f666330cfd36127,2544.489
3a9f1c09868bc6b04db7abdaa49c2eb3,2544.489
edc60937be90b832d894cca73ae23db7,3246.7490000000003
a0c093d560fad9207d0980b39bbcfdd7,3246.7490000000003
f324242f5df7adc4f1f63632a7651161,3246.7490000000003
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
