signature_index,total_director_comp
9a31e2f7d8f34382307bba0f98457fbb,902.555
13cc73214e6af3620f95cca0d90a6149,902.555
af45d403e144b15ad55cbb4860330bc4,902.555
2e91482081037a40171cf2d8048ef1a6,2004.756
650223213649774748b1803059994c33,2985.222
23aab2a0740350a9fa4c4849bca0a7c6,2985.222
b90ea41d143726dde5b9d93d8ba2614d,2985.222
1ac08bcc3cb4d759c15502a0b6b0cc3b,2844.516
e88dad8c9de691c6a41429b141b58437,2844.516
bbe48d782b36fb0fec33dae4a5c6d5a1,2111.987
c295d430d541e3463df1ebb8e7765b2d,2111.987
1e2cd23c19397fedb68fb90f1649bba2,2111.987
97b642b52ba42a744b57b0b524365cca,2605.182
1733265e8b87aadac84ea22f06f7a2c0,2605.182
355c536b47da9efaf006981c8b6d8a2f,2605.182
a98e156ae8823ead9c682a4ccf24b5c1,1960.3
05ef932bf8544d9bafc81858505f8f6f,1960.3
ef47be1ff8472629500e784675c8acb6,1960.3
aaadde79fee696c1e05a229dffbac462,2807.704
9ea76867cd413c3c6208e546f986036b,2807.704
435672ec71e2682ae85f9e0da44531b2,2807.704
3f594e25358bb0ea4fd8dbe557bb80cc,2638.3920000000003
1a7906302e21e0c066b5511ab50199f4,2638.3920000000003
06bea7104ee9e65f8c251eea14fcc0b5,2638.3920000000003
6d5f58394a307fc50bb9ba7c4bf8c2e5,6346.974
6d5f58394a307fc50bb9ba7c4bf8c2e5,6346.974
6d5f58394a307fc50bb9ba7c4bf8c2e5,6346.974
6d5f58394a307fc50bb9ba7c4bf8c2e5,6346.974
d672b5308519fe2171adefa89e76be86,6346.974
d672b5308519fe2171adefa89e76be86,6346.974
d672b5308519fe2171adefa89e76be86,6346.974
d672b5308519fe2171adefa89e76be86,6346.974
ab3e0eb3a003d8c52d1d5ffd517558c8,6346.974
ab3e0eb3a003d8c52d1d5ffd517558c8,6346.974
ab3e0eb3a003d8c52d1d5ffd517558c8,6346.974
ab3e0eb3a003d8c52d1d5ffd517558c8,6346.974
1a4323b249d92355266d34d466caf7c7,6346.974
1a4323b249d92355266d34d466caf7c7,6346.974
1a4323b249d92355266d34d466caf7c7,6346.974
1a4323b249d92355266d34d466caf7c7,6346.974
bff4275ce783583ee1d1b34b46621ad3,3071.659
bff4275ce783583ee1d1b34b46621ad3,3071.659
bff4275ce783583ee1d1b34b46621ad3,3071.659
bff4275ce783583ee1d1b34b46621ad3,3071.659
2aee703c228d85f51ae1598ecc6d190d,3071.659
2aee703c228d85f51ae1598ecc6d190d,3071.659
2aee703c228d85f51ae1598ecc6d190d,3071.659
2aee703c228d85f51ae1598ecc6d190d,3071.659
3c0c7676b189efa2e5217577a5b73124,3071.659
3c0c7676b189efa2e5217577a5b73124,3071.659
3c0c7676b189efa2e5217577a5b73124,3071.659
3c0c7676b189efa2e5217577a5b73124,3071.659
099079ecaaca577eb6d50d65f44a8888,3071.659
099079ecaaca577eb6d50d65f44a8888,3071.659
099079ecaaca577eb6d50d65f44a8888,3071.659
099079ecaaca577eb6d50d65f44a8888,3071.659
2272e8426f69a3a650a4ce5e0117d44b,3071.659
2272e8426f69a3a650a4ce5e0117d44b,3071.659
