signature_index,total_director_comp
847603370a479bc2ed0bb3a74b270aae,2004.756
55321521b6e50b4bccfe97ebffed402d,2004.756
6602b77c9233d608bee1e0ef777ceabe,2844.516
a4a364c43e04b6e306a019531f0c989c,916.408
72c81d3d7e18ddc6f0d59d44f315d924,916.408
f13bdc96d1c78f8a3eb81a79a09d6ca5,916.408
38cb1aa96ebc22c7401fc26b07675c79,3240.972
a4e65536c14c2560e07da51a436bb098,3240.972
b4ad963868feb3cac369c60fbc93eed3,2229.535
69767a069583370e1b4a3122929446da,134.625
1f97bf9c20e8a0363de85a34d721a2a4,134.625
f71260744c16b871a7bf4832126a7e7b,1388.06
c161cb916c8e90cf3a8e1970cbe1a4df,1388.06
57685d2910f7219d1cf021785fddb242,1388.06
0337c6359c6fc8fb475c3c843c4a4b8e,1849.912
2842835a0dbbe8edeedd3427f13905df,1849.912
a9b0d593f1a5385402df7986812db59c,2483.198
7c6aa5ba5a7edcd9e0438f4dddc4692c,2065.897
f58f7be93fcfa6ec7e69a93f28b40d09,2065.897
f553d4e34a27abbb6c280163825e33ad,1485.163
989cc0dcc3a7651d54f0091adf9302c4,699.713
989cc0dcc3a7651d54f0091adf9302c4,699.713
989cc0dcc3a7651d54f0091adf9302c4,699.713
989cc0dcc3a7651d54f0091adf9302c4,699.713
8cc184874dcb3464a23b651d223e950c,699.713
8cc184874dcb3464a23b651d223e950c,699.713
8cc184874dcb3464a23b651d223e950c,699.713
8cc184874dcb3464a23b651d223e950c,699.713
928ebb8dbb066d55ee5a7befcef65709,1639.876
ec59b871ffe6fde87d6ea45dedce63be,1639.876
60f7fa92b2d708983c06e7f5173cc0bf,1639.876
32b127875a6188ac5133d2c6920db72c,3418.754
b66d1fbe2911460242af3501a31ffa6f,1219.083
ed41fdfbe04834b10cb2413d595fe475,1394.339
bac0632e5fbf4d9bc7dceacb20b5e3aa,1394.339
7086951f45240c7aca7653c5b84922e3,3298.8950000000004
11fa67de2c0833442a79531709cd2680,2278.01
920c7b027bb649878289e189103ebe45,2278.01
f24b60ff3cc04bcf660d0f74d73d8107,1770.099
278fd511c8f65c92f9467b6ecf823987,1770.099
fa9dea13cf59622b6ce799fe3ab727e9,1770.099
2c5ea5e882bedba5aa62c5b10709b3a8,1863.315
793bfcd360aa25c3fd83020507a2286d,1863.315
544732334b769d4bba3e77e618b15398,2073.4390000000003
8aee6d7a4deb1d152b348f8f89f5fcdb,1780.509
c7c450c4888bd3d0f88b2a808769f0c0,1780.509
23a604bce36073837eb1cba1da9ffa64,8142.183
0ba97e8c5bfaf0677c0399bdf1a4a779,8142.183
b9eee56ef91225be3fec64c7472eb7d7,1214.2040000000002
a0d541eee4bfb5744bb42a8423197b62,1214.2040000000002
e893da5b6b30a119f6baf43351ee6cec,1214.2040000000002
c6b3f426b14ffba21524c617cd2bfc50,1491.6570000000002
436297c59530683e718cd345193e6a01,1491.6570000000002
db6b37e3fcdf6e71337f8626935e9e1f,1932.587
11b19a5407f84fec5904f4458b012ce8,1932.587
ea272c8709d8215e9e1bb0a4ae661a24,1932.587
fbec91e38a0ad189bd38c82ce18e4372,1372.247
d1f168b93e01a41edaa5482526911065,1372.247
ab7ad0556bc47c7525bfb497ea258516,270.64
c9c774375f77ac1bba29c4618dedb1e3,270.64
f53f0b746fe551945bfbdf2b7f975873,1728.627
4d9a5097dc197ae0ec8a9efb1c9d1193,1728.627
6952e1ade1f24ee8abacd6c2869ee5b7,2510.602
2187b2133723cfcce50657670a53945f,2510.602
ddfcb41dd4172c0ca1811b6291d7ec22,1288.945
6fbb4a3cb2a9c202bbe2c63f878d1bcf,1288.945
a83d455339120835a8e5ae9fe915a8a0,1334.31
a83d455339120835a8e5ae9fe915a8a0,1334.31
a83d455339120835a8e5ae9fe915a8a0,1334.31
a83d455339120835a8e5ae9fe915a8a0,1334.31
f31c949889ce717acc5d8f41cea6a545,1334.31
f31c949889ce717acc5d8f41cea6a545,1334.31
f31c949889ce717acc5d8f41cea6a545,1334.31
f31c949889ce717acc5d8f41cea6a545,1334.31
338dcb7af824d3110834e445f22bb4d1,1334.31
338dcb7af824d3110834e445f22bb4d1,1334.31
338dcb7af824d3110834e445f22bb4d1,1334.31
338dcb7af824d3110834e445f22bb4d1,1334.31
211f5c53dbcfbea863393763f16e6d9c,1334.31
211f5c53dbcfbea863393763f16e6d9c,1334.31
211f5c53dbcfbea863393763f16e6d9c,1334.31
211f5c53dbcfbea863393763f16e6d9c,1334.31
8b2ff3db7a1070e385f3bf1692e4216b,817.795
806879cb888a6a3da033da5fb7da3bda,24450.872
bf0008255afd71590aad2ac5e51b81d8,1935.515
38a51bf83de6f9340b443c38b89665ad,1271.49
38a51bf83de6f9340b443c38b89665ad,1271.49
38a51bf83de6f9340b443c38b89665ad,1271.49
38a51bf83de6f9340b443c38b89665ad,1271.49
81af4cc5725bd87ae7f76c06d63b043e,1271.49
81af4cc5725bd87ae7f76c06d63b043e,1271.49
81af4cc5725bd87ae7f76c06d63b043e,1271.49
81af4cc5725bd87ae7f76c06d63b043e,1271.49
caa96cfb5c7d88ab733770bf524c0073,2010.229
7fac14a8ea516655c24794e9e57df749,1075.773
7e8030e9e51519750498d38ed35f05b7,1068.033
3ddb1479c1e2213b23ba8c917bf207fc,1068.033
1ad424e45895ba452ca40e57be91f376,1068.033
f9a2bd6417f2b2a132165b2e7ac46736,979.106
8773f3283ddd85049367c3090d6cea3b,979.106
5ba8101d7d87f2077364b8ba1692c053,3418.917
b63682d043b5aa31df70316bbe155e16,3418.917
b378372d926b0caf7ced7b48d997f037,3418.917
cc22784e3aa599523cf8794926ebf5d8,1911.974
de0bfc7afe79a984e7d1521387c7b9cd,1911.974
3a850f1968be6285525a95b006a278f5,0.0
00fbf0a1681c50b1e224c80071a53861,0.0
1426d315873d1f4eaa7d8204a571817b,125.0
755cb049e99514b7f75314855841db95,125.0
4e2224160d89d97942c6dd03d2c8d0f5,125.0
32afc6b67972c96ec9efd156ca2c210b,2877.785
23269e1da0bc42dbee21894866da8a13,1518.223
3df69dfef50bd1ba9184efd32a663041,1518.223
73d268b635fc53dcc5f52aa04efc3103,177.5
468442efd87801c15bcf378dc9deb12f,177.5
bb3ab0a59086c801c442960dba16c7d2,177.5
ec2b8b2ed60772833e3e8046781a2285,1509.85
3b75bf93cc47db83b28e445910dce811,19.0
d0e2d095caa180d60be55482fad19d7e,19.0
de4a4a296b7e849b22b98de55e3d5240,19.0
0d7d62a7863e8761b87005d9d537a149,629.537
f4e432a578b253ec02f982ddbbe63802,629.537
d7db21ae7bab84a268009c650b1e07a4,629.537
e1b12f80bd8052153f6a5793ecae051f,605.784
56bce5342101ccbd0a8a1253aacd6df0,605.784
db101026bda878f85bd93720ad79e3f3,2444.941
040089684d6ae9426801323245e455c1,2444.941
0c1523713635fed211936591ea5f095e,524.5
67c8e2448a113628de6c3b8c9c121174,524.5
33dc01a401cba6f1439488076e18fe71,1107.6
33dc01a401cba6f1439488076e18fe71,1107.6
33dc01a401cba6f1439488076e18fe71,1107.6
33dc01a401cba6f1439488076e18fe71,1107.6
3814f3afb8346bb7d87f5da281f06aed,1107.6
3814f3afb8346bb7d87f5da281f06aed,1107.6
3814f3afb8346bb7d87f5da281f06aed,1107.6
3814f3afb8346bb7d87f5da281f06aed,1107.6
9bb6faa2fa928431ff66d4c888ba806c,1107.6
9bb6faa2fa928431ff66d4c888ba806c,1107.6
9bb6faa2fa928431ff66d4c888ba806c,1107.6
9bb6faa2fa928431ff66d4c888ba806c,1107.6
e1c61e10c6485d29cd90245db5a56708,1107.6
e1c61e10c6485d29cd90245db5a56708,1107.6
e1c61e10c6485d29cd90245db5a56708,1107.6
e1c61e10c6485d29cd90245db5a56708,1107.6
5e30f0cb22b8357a9e22779616b58788,1107.6
5e30f0cb22b8357a9e22779616b58788,1107.6
5e30f0cb22b8357a9e22779616b58788,1107.6
5e30f0cb22b8357a9e22779616b58788,1107.6
69ef0db6dd2dc613390e6773cfa31a92,1107.6
69ef0db6dd2dc613390e6773cfa31a92,1107.6
69ef0db6dd2dc613390e6773cfa31a92,1107.6
69ef0db6dd2dc613390e6773cfa31a92,1107.6
66833e087371d46183acd7d6ca3a4e3e,1469.915
