signature_index,tdc1
59bba37fbeb3fbc1fbd226dae0b35e14,8161.669
79974be2e56cd0c50622b1d0ba556c9e,9935.099
7b3f881a6d349d0f0601f7b7fb7f5b6c,10894.82
a56c090952608c2ef07ec0c5b55a9c15,5238.064
0305e68a8d88f5f37aecffc1b6dfccfb,4374.845
124479c00e40c6503ba47628ffe61716,4718.444
82e9d8f9457ceacb54c44a2ff93ffa47,15201.446
20acbbf372670a7526f1b74615083416,14287.301
f8fe2b36ef99bb15f2dbaf66a33524db,8709.697
2c17f7b3290b3c2908763784983d6428,5404.676
5445d87ed10d7ca4d963305608d77fda,7639.414
c93a849521a20cee4f2d4ff91d98128f,8799.147
6ab1392b25230b508f6b4c635628311b,9132.451
0a2c2941840ab20e59f831bcac943ad6,9342.072
1a5e3272c29611472bd74aa62fdadab0,10023.471
e80098cc6fe8fbe27a6e210ea353545a,13247.424
4ae4920dd4ebcd38122f11a6419d61c9,4337.737
634cae2cee9a31e31c19c96f83f6e1b9,9003.154
abb45b32b3dba55c3b21d34f0247ab55,13175.257
c49b2dda79b914c8cd6b5aab707444de,9994.552
d28f8784db92c540e1f4c1c2f2539841,7464.181
19df5b4659aca288fd122bb8cf9bc37a,16843.203
7d507ace294fe6b5677bb0871d273a54,16970.731
84f8659d1c20530b09c5572fad0d323c,16508.084
ac57952b517ac88c99a1b5bd74e79d41,11145.911
bb64131f380d421cf670fa0712cab9b2,2999.907
811f57501df2627394a851afdf343a04,2104.037
601fe43628fadad9959f55a718a718e7,4553.31
e5aae395bed1245613d08f496d1ae75f,3106.827
17335b32efb7ca153f3291a6e9cbcafc,9854.756
f649bba31b0a1469cbbed7ffa11fa63d,15547.207
a4aa5ce31a7427f8823b226cc344e642,11846.929
16c51e3e0b2a73b2a8e74fcfa9d63c22,6242.83
7b2509c179ca7bf34f1cb40a0a5818d8,6542.344
c239537e1b0615581856ea624b3dbe85,5765.706
249323cf00f3555c93f183d043b5dcbb,5407.202
5fb950c76527d7996beaa1db65acb44f,5778.515
87a7b927376fc8fdc2a4d42b2b7a50a5,18507.441
