,gvkey,ticker,total_sec,othcomp,noneq_incent,cash_fees,stock_awards,option_awards,spcode,cusip,coname,year,total_director_comp,total_othcomp,total_noneq_incent,total_cash_fees,total_stock_awards,total_option_awards,mkvalt,size_category,signature_index,liquidity,net_income,num_employees,market_value,debt_to_equity,assets_in_place,capex_by_assets,return_on_equity
0,1045,AAL,47.951,0.951,0.0,47.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2012,902.555,123.658,0.0,461.0,273.774,0.0,266.5571,Tiny,589b2d914f25e0a1ff8f707f7aa52096,-0.077407525510204,-471.0,78.25,2597.5755,-7.359442332065906,1.0649314413265305,0.0782047193877551,-0.0187739158163265
1,1045,AAL,0.0,0.0,0.0,0.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2013,902.555,123.658,0.0,461.0,273.774,0.0,6591.9923,Medium,436a3154f7acadd68f77107364944857,-0.0785390808453539,-1979.0,80.1,117.3438,-4.353677401209394,1.0421838309292184,0.067510902381751,-0.0829838980207983
2,1045,AAL,418.608,36.108,0.0,102.5,280.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2014,902.555,123.658,0.0,461.0,273.774,0.0,37405.5843,Big,dc94df973b47ec03bf615d54bd90e720,-0.0949383241173968,-1876.0,77.75,266.5571,-3.943533241517466,1.0307528711186729,0.0803062526584432,-0.0797958315610378
3,1045,AAL,286.838,29.338,0.0,117.5,140.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2015,902.555,123.658,0.0,461.0,273.774,0.0,26452.7417,Big,c2357bce3ae6160bca4e3155a24b1a0a,0.0122285822413548,-1834.0,110.4,6591.9923,-16.480776272427683,0.7188608732674204,0.0736553290127253,-0.0433795354557926
4,1045,AAL,317.368,32.368,0.0,135.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2016,902.555,123.658,0.0,461.0,273.774,0.0,23685.5569,Big,7abb44613cbb465cef913dbfd121155a,-0.0302254917639533,2882.0,113.3,37405.5843,20.658090054428506,0.8074524228370382,0.1213360444129674,0.0658426812272966
5,1045,AAL,320.408,35.408,0.0,135.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2017,902.555,123.658,0.0,461.0,273.774,0.0,24740.6812,Big,9a31e2f7d8f34382307bba0f98457fbb,-0.0747702158421976,7610.0,118.5,26452.7417,7.591836734693878,0.8396984405659403,0.1270474026644635,0.1571826913146752
6,1045,AAL,268.901,201.401,0.0,67.5,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2018,902.555,123.658,0.0,461.0,273.774,0.0,14790.2192,Big,13cc73214e6af3620f95cca0d90a6149,-0.0691968639076335,2676.0,122.3,23685.5569,12.54663143989432,0.8845223700120919,0.1117720482115692,0.052190193860436
7,1045,AAL,338.21,58.21,0.0,130.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2019,902.555,123.658,0.0,461.0,273.774,0.0,12280.862,Big,af45d403e144b15ad55cbb4860330bc4,-0.1131994707759358,1919.0,126.6,24740.6812,12.091186958736628,0.968985913300646,0.1161763561366643,0.037337535995019
8,1075,PNW,257.247,0.075,0.0,88.333,89.51,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2012,2004.756,8.597,0.0,1003.665,852.361,0.0,5594.6981,Medium,485318ffa12725e4d00d4bc59f8d27ec,-0.0306410337609825,350.053,6.74,4508.5165,2.331445728277723,1.1491366410727493,0.0618919665060302,0.0283152478871327
9,1075,PNW,252.04,0.055,0.0,92.5,91.294,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2013,2004.756,8.597,0.0,1003.665,852.361,0.0,5830.8314,Medium,908c5e45e4cc8a93285d6472a5b7d376,-0.0294588109024028,339.473,6.663,5263.4723,2.402091133874956,1.1313567718387694,0.0688510991289921,0.025892192353027
10,1075,PNW,294.693,0.0,0.0,102.5,99.953,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2014,2004.756,8.597,0.0,1003.665,852.361,0.0,7553.105,Medium,2b63eccf684748241ff6b2dfb5f32cb5,-0.0058160118957085,381.542,6.613,5594.6981,2.3352074075602984,1.1720823805468246,0.0676044863772238,0.0285166650908863
11,1075,PNW,315.403,0.0,0.0,107.5,100.279,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2015,2004.756,8.597,0.0,1003.665,852.361,0.0,7155.9904,Medium,df0e2a4ea0361dba032c32689fc1697d,-0.0425677967494395,406.074,6.433,5830.8314,2.185788907776191,1.2259657230910543,0.0763348115427362,0.0300602145908195
12,1075,PNW,312.782,0.0,0.0,110.833,106.762,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2016,2004.756,8.597,0.0,1003.665,852.361,0.0,8687.6261,Medium,3034dd287186680a6a19d791e5eaed6e,-0.0409198791744763,397.595,6.366,7553.105,2.2425748593071586,1.1852720907739611,0.0647003828265448,0.0277775604232414
13,1075,PNW,334.892,0.0,0.0,112.5,110.255,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2017,2004.756,8.597,0.0,1003.665,852.361,0.0,9519.0354,Medium,847603370a479bc2ed0bb3a74b270aae,-0.0367175623415568,437.257,6.407,7155.9904,2.24890655742676,1.183299554745467,0.072686135678533,0.0290956543333232
14,1075,PNW,359.737,0.0,0.0,117.5,119.58,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2018,2004.756,8.597,0.0,1003.665,852.361,0.0,9551.0904,Medium,55321521b6e50b4bccfe97ebffed402d,-0.0294126192581434,442.034,6.339,8687.6261,2.304165689973108,1.1858779663130794,0.0809436091768856,0.0276197833163472
15,1075,PNW,433.395,0.0,0.0,120.0,120.225,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2019,2004.756,8.597,0.0,1003.665,852.361,0.0,10111.3695,Big,2e91482081037a40171cf2d8048ef1a6,-0.010668260485495,488.456,6.292,9519.0354,2.3734946641393817,1.157646869555009,0.08407539255055,0.0287004904259818
