,gvkey,ticker,ceoann,salary,bonus,stock_awards,option_awards,othcomp,total_curr,age,tdc1,year,becameceo,joined_co,leftofc,gender,cusip,naicsdesc,sic,mkvalt,size_category,signature_index,ownershipratio,ownershippower,yearserved,prestiegepower
0,1045,AAL,CEO,669.646,0.0,3280.68,1185.94,94.66,669.646,51.0,5231.393,2010,2003-04-25,,2011-11-28,MALE,02376R10,164,4512,2597.5755,Medium,c5cfee96827874d696f92bc8dc8e7d1c,11.983168598917354,1,7.0,1
1,1045,AAL,CEO,613.842,0.0,4020.38,798.6,93.996,613.842,52.0,5526.835,2011,2003-04-25,,2011-11-28,MALE,02376R10,164,4512,117.3438,Tiny,03d75aed72524dfeb17fbbce2574b46a,14.685032179827155,1,8.0,1
2,1045,AAL,CEO,618.135,0.0,0.0,0.0,37.458,618.135,50.0,656.226,2012,2011-11-28,,2013-12-09,MALE,02376R10,164,4512,266.5571,Tiny,15564e09568d0b6f2f1897f5c3071885,0.0,0,1.0,0
3,1045,AAL,CEO,591.911,0.0,4199.761,0.0,13117.484,591.911,51.0,19092.978,2013,2011-11-28,,2013-12-09,MALE,02376R10,164,4512,6591.9923,Medium,d4a0b6385b961d3e6cd8358db5f13dd8,15.340247795627052,1,2.0,0
4,1045,AAL,CEO,687.884,0.0,7000.0,0.0,414.092,687.884,52.0,12301.976,2014,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,37405.5843,Big,d3d6750755aedf18253dfe15a361256d,25.568534630753835,1,1.0,0
5,1045,AAL,CEO,231.538,0.0,10330.0,0.0,469.559,231.538,53.0,11418.547,2015,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,26452.7417,Big,2d05c5720403b8cfd529f5e634202665,37.73185181938387,1,2.0,0
6,1045,AAL,CEO,0.0,0.0,11000.0,0.0,140.763,0.0,54.0,11140.763,2016,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,23685.5569,Big,16fb53f4f46f9c92f80cacf20e03b592,40.17912584832745,1,3.0,0
7,1045,AAL,CEO,0.0,0.0,11974.0,0.0,201.486,0.0,55.0,12175.486,2017,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,24740.6812,Big,3402205a7e4889f1b8ca6029b54e67da,43.73680480980663,1,4.0,0
8,1045,AAL,CEO,0.0,0.0,11939.0,0.0,60.517,0.0,56.0,11999.517,2018,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,14790.2192,Big,920e7e3eb8fc1c68b8be8bfec0de12c5,43.608962136652856,1,5.0,0
9,1045,AAL,CEO,0.0,0.0,11508.0,0.0,63.714,0.0,57.0,11571.714,2019,2013-12-09,,2022-03-31,MALE,02376R10,164,4512,12280.862,Big,1fa1919a294f5dd7bcc4d6d00553494c,42.0346709329593,1,6.0,1
10,1075,PNW,CEO,960.0,0.0,2350.004,0.0,21.473,960.0,55.0,4804.487,2010,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,61,4911,4508.5165,Medium,322856e4b92c0fd882e75b2344d19ced,2.75705246955222,0,1.0,0
11,1075,PNW,CEO,1091.0,0.0,3900.218,0.0,25.242,1091.0,56.0,6697.916,2011,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,61,4911,5263.4723,Medium,83a2d1897a6ecb921d195f462c565b0f,4.57578185768706,0,2.0,0
