gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,emp,ni,revt,costat
001045,2009-12-31,2009,INDL,C,D,STD,AAL,USD,25438.0000,78.9000,-1468.0000,19917.0000,A
001045,2010-12-31,2010,INDL,C,D,STD,AAL,USD,25088.0000,78.2500,-471.0000,22170.0000,A
001045,2011-12-31,2011,INDL,C,D,STD,AAL,USD,23848.0000,80.1000,-1979.0000,24022.0000,A
001045,2012-12-31,2012,INDL,C,D,STD,AAL,USD,23510.0000,77.7500,-1876.0000,24855.0000,A
001045,2013-12-31,2013,INDL,C,D,STD,AAL,USD,42278.0000,110.4000,-1834.0000,26712.0000,A
001045,2014-12-31,2014,INDL,C,D,STD,AAL,USD,43771.0000,113.3000,2882.0000,42650.0000,A
001045,2015-12-31,2015,INDL,C,D,STD,AAL,USD,48415.0000,118.5000,7610.0000,40990.0000,A
001045,2016-12-31,2016,INDL,C,D,STD,AAL,USD,51274.0000,122.3000,2676.0000,40180.0000,A
001045,2017-12-31,2017,INDL,C,D,STD,AAL,USD,51396.0000,126.6000,1919.0000,42207.0000,A
001045,2018-12-31,2018,INDL,C,D,STD,AAL,USD,60580.0000,128.9000,1412.0000,44541.0000,A
001045,2019-12-31,2019,INDL,C,D,STD,AAL,USD,59995.0000,133.7000,1686.0000,45768.0000,A
001075,2009-12-31,2009,INDL,C,D,STD,PNW,USD,11808.1550,7.2000,68.3300,3297.1010,A
001075,2010-12-31,2010,INDL,C,D,STD,PNW,USD,12362.7030,6.7400,350.0530,3263.6450,A
001075,2011-12-31,2011,INDL,C,D,STD,PNW,USD,13111.0180,6.6630,339.4730,3241.3790,A
001075,2012-12-31,2012,INDL,C,D,STD,PNW,USD,13379.6150,6.6130,381.5420,3301.8040,A
001075,2013-12-31,2013,INDL,C,D,STD,PNW,USD,13508.6860,6.4330,406.0740,3454.6280,A
001075,2014-12-31,2014,INDL,C,D,STD,PNW,USD,14313.5320,6.3660,397.5950,3491.6320,A
001075,2015-12-31,2015,INDL,C,D,STD,PNW,USD,15028.2580,6.4070,437.2570,3495.4430,A
001075,2016-12-31,2016,INDL,C,D,STD,PNW,USD,16004.2530,6.3390,442.0340,3498.6820,A
001075,2017-12-31,2017,INDL,C,D,STD,PNW,USD,17019.0820,6.2920,488.4560,3565.2960,A
001075,2018-12-31,2018,INDL,C,D,STD,PNW,USD,17664.2020,6.2590,511.0470,3691.2470,A
001075,2019-12-31,2019,INDL,C,D,STD,PNW,USD,18479.2470,6.2100,538.3200,3471.2090,A
001078,2009-12-31,2009,INDL,C,D,STD,ABT,USD,52416.6230,73.0000,5745.8380,30764.7070,A
001078,2010-12-31,2010,INDL,C,D,STD,ABT,USD,59462.2660,90.0000,4626.1720,35166.7210,A
001078,2011-12-31,2011,INDL,C,D,STD,ABT,USD,60276.8930,91.0000,4728.4490,38851.2590,A
001078,2012-12-31,2012,INDL,C,D,STD,ABT,USD,67234.9440,91.0000,5962.9200,39873.9100,A
001078,2013-12-31,2013,INDL,C,D,STD,ABT,USD,42953.0000,69.0000,2576.0000,21848.0000,A
001078,2014-12-31,2014,INDL,C,D,STD,ABT,USD,41275.0000,77.0000,2284.0000,20247.0000,A
001078,2015-12-31,2015,INDL,C,D,STD,ABT,USD,41247.0000,74.0000,4423.0000,20405.0000,A
001078,2016-12-31,2016,INDL,C,D,STD,ABT,USD,52666.0000,75.0000,1400.0000,20853.0000,A
001078,2017-12-31,2017,INDL,C,D,STD,ABT,USD,76250.0000,99.0000,477.0000,27390.0000,A
001078,2018-12-31,2018,INDL,C,D,STD,ABT,USD,67173.0000,103.0000,2368.0000,30578.0000,A
001078,2019-12-31,2019,INDL,C,D,STD,ABT,USD,67887.0000,107.0000,3687.0000,31904.0000,A
001161,2009-12-31,2009,INDL,C,D,STD,AMD,USD,9078.0000,13.4000,376.0000,5403.0000,A
001161,2010-12-31,2010,INDL,C,D,STD,AMD,USD,4964.0000,11.1000,471.0000,6494.0000,A
001161,2011-12-31,2011,INDL,C,D,STD,AMD,USD,4954.0000,11.0930,491.0000,6568.0000,A
001161,2012-12-31,2012,INDL,C,D,STD,AMD,USD,4000.0000,10.3400,-1183.0000,5422.0000,A
001161,2013-12-31,2013,INDL,C,D,STD,AMD,USD,4337.0000,10.6710,-83.0000,5299.0000,A
001161,2014-12-31,2014,INDL,C,D,STD,AMD,USD,3767.0000,9.6870,-403.0000,5506.0000,A
001161,2015-12-31,2015,INDL,C,D,STD,AMD,USD,3109.0000,9.1390,-660.0000,3991.0000,A
001161,2016-12-31,2016,INDL,C,D,STD,AMD,USD,3321.0000,8.2000,-497.0000,4272.0000,A
001161,2017-12-31,2017,INDL,C,D,STD,AMD,USD,3540.0000,8.9000,43.0000,5329.0000,A
001161,2018-12-31,2018,INDL,C,D,STD,AMD,USD,4556.0000,10.1000,337.0000,6475.0000,A
001161,2019-12-31,2019,INDL,C,D,STD,AMD,USD,6028.0000,11.4000,341.0000,6731.0000,A
001209,2009-09-30,2009,INDL,C,D,STD,APD,USD,13029.1000,18.9000,631.3000,8256.2000,A
001209,2010-09-30,2010,INDL,C,D,STD,APD,USD,13505.9000,18.3000,1029.1000,9026.0000,A
001209,2011-09-30,2011,INDL,C,D,STD,APD,USD,14290.7000,18.9000,1224.2000,10082.0000,A
001209,2012-09-30,2012,INDL,C,D,STD,APD,USD,16941.8000,21.3000,1167.3000,9611.7000,A
001209,2013-09-30,2013,INDL,C,D,STD,APD,USD,17850.1000,21.6000,994.2000,10180.4000,A
001209,2014-09-30,2014,INDL,C,D,STD,APD,USD,17779.1000,21.2000,991.7000,10439.0000,A
001209,2015-09-30,2015,INDL,C,D,STD,APD,USD,17438.1000,19.7000,1277.9000,9894.9000,A
