signature_index,total_director_comp
af409877360f201e6c896a8447701641,4974.504
4dc03933efdf4238f7d699ab27c73b5d,4974.504
1a140dc0f8fefb2714b9908aaea8d329,4974.504
335a8285ce6e55ffc5fd0abba713061b,2856.737
d9b32f4750a91ec4eabf3d5dd1a73791,2856.737
678c1a5d721c1486d8f22f5bf50fde68,2856.737
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
a8005ce115f22ab9c65125b4894291ab,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
98a0ccdc197ec092dba0fcd1d77d64fa,36.3
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
bc49400a8e57bf3d2b995431cce7553e,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
093af434fdb9d42b8347cb125130cd8d,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
c2a6e9b37d9e2d4e2f145a6994fb8c6a,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
cd4e4fbeb23230d40d57be71c5c091be,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
6fde338185d61e813804cef5c4a32862,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
46974a198d151706d4954b0e3619eabd,2665.0
a0f9778a4c4d609a813b27f2bb179a32,4387.891
47dd40eeb7971894d9419e91ecdd59ca,4387.891
eaf7fbfe6704ffa97da0e02dbcc7c824,4387.891
7445a7a84b85a7cc0f666330cfd36127,2544.489
3a9f1c09868bc6b04db7abdaa49c2eb3,2544.489
f324242f5df7adc4f1f63632a7651161,3246.7490000000003
6c953f12aa464d28a7a760dd73479f19,2824.147
b81484bbce150450e28f63c002137797,3502.192
2befdadac6ebdbfe0884c104ef66f656,3502.192
7d405a1a2808fdb003bea9ae6afb8e36,3502.192
4e919a24029fac5f380afcbd934131db,2422.75
a7eedb348e1d44bcf3e1c21b68226a73,2422.75
34e0a0cefc048a7a933a8366e464730f,2422.75
c292a2b8f3d0266029dc586a722b2298,6237.05
a011b68973c4f7d77b60e6b537aaf4fd,6237.05
a1ed542156e38d08e791617446a80663,6237.05
42bdd07250fdf8dc6d7cba9ac1c40ccc,2308.698
4f99f4f2029139aed36b6e674da4279e,2308.698
b9d371266abb12e4cfea7b4f9ad63263,2308.698
84589ce3f5998cfccfd38da02c758de6,3259.442
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
