GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
1045,AAL,69.452,8.349,0.0,37.0,24.103,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2010,2010,902.555,123.658,0.0,461.0,273.774,0.0,2597.5755,Small,ffe4d6d691375ee0e939ec86d72f3b78
1045,AAL,70.314,13.503,0.0,43.0,13.811,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2011,2010,902.555,123.658,0.0,461.0,273.774,0.0,117.3438,Small,63f4dd515a311f307bf8d3d91818d1eb
1045,AAL,47.951,0.951,0.0,47.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2012,2010,902.555,123.658,0.0,461.0,273.774,0.0,266.5571,Small,2c9fe7f43ef8ac17cd988987a5bd8dd1
1045,AAL,0.0,0.0,0.0,0.0,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2013,2010,902.555,123.658,0.0,461.0,273.774,0.0,6591.9923,Small,3d32182f07edbe58059a3d2a82bf1af5
1045,AAL,418.608,36.108,0.0,102.5,280.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2014,2010,902.555,123.658,0.0,461.0,273.774,0.0,37405.5843,Medium,29e8d76f8c3fbde07ea9432756bebd81
1045,AAL,286.838,29.338,0.0,117.5,140.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2015,2010,902.555,123.658,0.0,461.0,273.774,0.0,26452.7417,Medium,5d7ed764bad0b3fad698be00fef20dbe
1045,AAL,317.368,32.368,0.0,135.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2016,2010,902.555,123.658,0.0,461.0,273.774,0.0,23685.5569,Medium,feeb453726ae67fa03a03ab1625f9677
1045,AAL,320.408,35.408,0.0,135.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2017,2010,902.555,123.658,0.0,461.0,273.774,0.0,24740.6812,Medium,7f9ee50e25fa75af6e7ab7973eb83563
1045,AAL,268.901,201.401,0.0,67.5,0.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2018,2010,902.555,123.658,0.0,461.0,273.774,0.0,14790.2192,Medium,5baaa702666622259d03df3e83a41608
1045,AAL,338.21,58.21,0.0,130.0,150.0,0.0,SP,02376R10,AMERICAN AIRLINES GROUP INC,2019,2010,902.555,123.658,0.0,461.0,273.774,0.0,12280.862,Medium,ea08036100eef912627240cbe20032cc
1075,PNW,197.227,0.135,0.0,81.333,72.123,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2010,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,4508.5165,Small,7c66053563ee69cbede9dd48add03a40
1075,PNW,219.425,0.069,0.0,80.0,76.625,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2011,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5263.4723,Small,834717282fb722db5e2f42ce856b4bbb
1075,PNW,257.247,0.075,0.0,88.333,89.51,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2012,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5594.6981,Small,e5d48030d1b4e68e2f629d25c8c522ff
1075,PNW,252.04,0.055,0.0,92.5,91.294,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2013,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,5830.8314,Small,97b6c9a68ee1f3e67dcc975836618be6
1075,PNW,294.693,0.0,0.0,102.5,99.953,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2014,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,7553.105,Small,ab291a024eb35d5d35d68796819a62b5
1075,PNW,315.403,0.0,0.0,107.5,100.279,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2015,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,7155.9904,Small,21578bc0063538927bd9517d50c2d8e6
1075,PNW,312.782,0.0,0.0,110.833,106.762,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2016,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,8687.6261,Small,deb2a9b80f4226ca7cf858f9f3a998e8
1075,PNW,334.892,0.0,0.0,112.5,110.255,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2017,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,9519.0354,Small,ca6a86e116f5b849b3c9297ab5da3783
1075,PNW,359.737,0.0,0.0,117.5,119.58,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2018,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,9551.0904,Small,f7f7abe56ae4d54f65a62113fbb5e944
1075,PNW,433.395,0.0,0.0,120.0,120.225,0.0,SP,72348410,PINNACLE WEST CAPITAL CORP,2019,2010,2004.756,8.597,0.0,1003.665,852.361,0.0,10111.3695,Medium,7b7e93d8414ec5efacd3d2c8a228d7ab
1078,ABT,266.491,32.185,0.0,122.0,106.96,0.0,SP,00282410,ABBOTT LABORATORIES,2010,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,74116.0034,Medium,e9d5ed9a25a59586d31b6604002a8f5d
1078,ABT,80.321,28.787,0.0,42.0,0.0,0.0,SP,00282410,ABBOTT LABORATORIES,2011,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,88302.4112,Medium,cb3065a26ac7e29a25d09dd9c69fc523
