,GVKEY_x,TICKER,AGE,TDC1,YEAR,BECAMECEO,STOCK_AWARDS_x,STOCK_AWARDS_y,ownershipRatio,ownershipPower,yearServed,prestiegePower,size_category_x,MKVALT_x
0,1045,AAL,51.0,5231.393,2010,2003-04-25,3280.68,24.103,11.983168598917354,1,7.0,1,Small,2597.5755
1,1045,AAL,52.0,5526.835,2011,2003-04-25,4020.38,13.811,14.685032179827157,1,8.0,1,Small,117.3438
2,1045,AAL,50.0,656.226,2012,2011-11-28,0.0,0.0,0.0,0,1.0,0,Small,266.5571
3,1045,AAL,51.0,19092.978,2013,2011-11-28,4199.761,0.0,15.340247795627052,1,2.0,0,Small,6591.9923
4,1045,AAL,52.0,12301.976,2014,2013-12-09,7000.0,280.0,25.568534630753835,1,1.0,0,Medium,37405.5843
5,1045,AAL,53.0,11418.547,2015,2013-12-09,10330.0,140.0,37.73185181938387,1,2.0,0,Medium,26452.7417
6,1045,AAL,54.0,11140.763,2016,2013-12-09,11000.0,150.0,40.17912584832745,1,3.0,0,Medium,23685.5569
7,1045,AAL,55.0,12175.486,2017,2013-12-09,11974.0,150.0,43.73680480980663,1,4.0,0,Medium,24740.6812
8,1045,AAL,56.0,11999.517,2018,2013-12-09,11939.0,0.0,43.608962136652856,1,5.0,0,Medium,14790.2192
9,1045,AAL,57.0,11571.714,2019,2013-12-09,11508.0,150.0,42.0346709329593,1,6.0,1,Medium,12280.862
10,1075,PNW,55.0,4804.487,2010,2009-04-30,2350.004,72.123,2.75705246955222,0,1.0,0,Small,4508.5165
11,1075,PNW,56.0,6697.916,2011,2009-04-30,3900.218,76.625,4.57578185768706,0,2.0,0,Small,5263.4723
12,1075,PNW,57.0,10122.665,2012,2009-04-30,7100.295,89.51,8.330150018595408,1,3.0,0,Small,5594.6981
13,1075,PNW,58.0,7123.873,2013,2009-04-30,4000.235,91.294,4.693122984275442,0,4.0,0,Small,5830.8314
14,1075,PNW,59.0,7376.177,2014,2009-04-30,4199.976,99.953,4.9274614863889825,0,5.0,0,Small,7553.105
15,1075,PNW,60.0,7833.951,2015,2009-04-30,4400.029,100.279,5.162166030590326,0,6.0,1,Small,7155.9904
16,1075,PNW,61.0,9240.37,2016,2009-04-30,5908.828,106.762,6.932306851205065,1,7.0,1,Small,8687.6261
17,1075,PNW,62.0,8161.669,2017,2009-04-30,4374.133,110.255,5.131784537302856,0,8.0,1,Small,9519.0354
18,1075,PNW,63.0,9935.099,2018,2009-04-30,4370.322,119.58,5.127313427057315,0,9.0,1,Small,9551.0904
19,1075,PNW,64.0,9560.511,2019,2009-04-30,4451.654,120.225,5.222733090791344,0,10.0,1,Medium,10111.3695
20,1078,ABT,55.0,20023.899,2010,1999-01-01,10897.0,106.96,9.261746107295846,1,11.0,1,Medium,74116.0034
21,1078,ABT,56.0,18591.822,2011,1999-01-01,9759.558,0.0,8.294993880465086,1,12.0,1,Medium,88302.4112
22,1078,ABT,57.0,18955.889,2012,1999-01-01,9429.176,112.96,8.014190521520364,1,13.0,1,Medium,103271.6885
23,1078,ABT,58.0,20529.515,2013,1999-01-01,7337.4,112.979,6.236316039980961,1,14.0,1,Medium,59338.5963
24,1078,ABT,59.0,16179.509,2014,1999-01-01,4649.999,134.913,3.9521987828925003,0,15.0,1,Medium,67891.7357
25,1078,ABT,60.0,18789.474,2015,1999-01-01,6247.971,134.916,5.310371761746107,0,16.0,1,Medium,66137.3852
26,1078,ABT,61.0,16424.876,2016,1999-01-01,5249.288,149.985,4.461555721765146,0,17.0,1,Medium,56572.8983
27,1078,ABT,62.0,15620.117,2017,1999-01-01,4099.523,149.939,3.484329740939689,0,18.0,1,Medium,99507.3661
28,1078,ABT,63.0,22872.393,2018,1999-01-01,7499.367,174.977,6.373977527707894,1,19.0,1,Medium,126983.9223
29,1078,ABT,64.0,22094.981,2019,1999-01-01,7562.448,174.91,6.427592302984974,1,20.0,1,Medium,153091.0106
30,1161,AMD,48.0,5549.838,2010,2008-07-01,2530.0,227.531,1.1744231980611342,0,2.0,0,Small,5586.94
31,1161,AMD,48.0,3784.46,2011,2011-01-10,1150.305,238.691,0.5339703070536415,0,0.0,0,Small,3769.2
32,1161,AMD,51.0,7298.328,2012,2011-08-25,3744.848,114.003,1.7383542942343249,0,1.0,0,Small,1711.2
33,1161,AMD,52.0,8211.49,2013,2011-08-25,4891.25,166.94,2.2705128330104833,0,2.0,0,Small,2805.75
34,1161,AMD,53.0,7729.545,2014,2011-08-25,5073.165,182.128,2.354957574542219,0,3.0,0,Small,2071.92
35,1161,AMD,45.0,6559.194,2015,2014-08-10,4438.124,164.26,2.0601722456410565,0,1.0,0,Small,2273.04
36,1161,AMD,46.0,11724.775,2016,2014-08-10,7983.393,198.197,3.7058821891062736,0,2.0,0,Medium,10602.9
37,1161,AMD,47.0,10894.82,2017,2014-08-10,6980.74,151.85,3.2404517769301506,0,3.0,0,Small,9940.76
38,1161,AMD,48.0,13356.393,2018,2014-08-10,8622.801,198.381,4.002694674571045,0,4.0,0,Medium,18552.3
39,1161,AMD,49.0,58534.289,2019,2014-08-10,53176.357,183.71,24.684406027344103,1,5.0,0,Medium,53656.2
40,1209,APD,56.0,11620.529,2010,2008-01-01,3849.914,100.075,3.8470787029958924,0,2.0,0,Medium,17707.1645
41,1209,APD,57.0,11383.764,2011,2008-01-01,4024.841,100.068,4.021876876741842,0,3.0,0,Medium,16051.8285
42,1209,APD,58.0,9255.356,2012,2008-01-01,3599.997,120.074,3.597345756177697,0,4.0,0,Medium,17571.7652
43,1209,APD,59.0,9976.558,2013,2008-01-01,4062.39,50.06,4.059398223509274,0,5.0,0,Medium,22505.346
44,1209,APD,60.0,11768.072,2014,2008-01-01,0.0,120.002,0.0,0,6.0,1,Medium,27798.507
45,1209,APD,71.0,12958.113,2015,2014-07-01,6947.086,120.074,6.941969768280778,1,1.0,0,Medium,27475.5012
46,1209,APD,72.0,11535.833,2016,2014-07-01,6839.951,120.081,6.834913668626223,1,2.0,0,Medium,32676.5493
47,1209,APD,73.0,13959.766,2017,2014-07-01,9194.498,120.09,9.187726645462295,1,3.0,0,Medium,33018.2821
48,1209,APD,74.0,13941.507,2018,2014-07-01,9788.563,150.162,9.781354141997348,1,4.0,0,Medium,36670.1478
49,1209,APD,75.0,17031.957,2019,2014-07-01,12842.935,150.14,12.833476727651721,1,5.0,0,Medium,48901.2719
50,1230,ALK,55.0,3051.7328,2010,2003-05-20,1120.197,35.968,3.6282506809870982,0,7.0,1,Small,2036.5316
51,1230,ALK,56.0,2303.931,2011,2003-05-20,821.42,35.999,2.660529955335019,0,8.0,1,Small,2663.8178
52,1230,ALK,51.0,4226.832,2012,2012-05-15,3160.012,46.0,10.235088730756647,1,0.0,0,Small,3032.5449
53,1230,ALK,52.0,2753.597,2013,2012-05-15,1062.879,45.954,3.442601127798848,0,1.0,0,Small,5043.894
54,1230,ALK,53.0,2947.282,2014,2012-05-15,975.541,74.908,3.1597186009075506,0,2.0,0,Small,7857.3046
55,1230,ALK,54.0,3601.753,2015,2012-05-15,1621.307,74.964,5.251315819306024,0,3.0,0,Medium,10077.8393
56,1230,ALK,55.0,3886.411,2016,2012-05-15,1817.951,89.962,5.888233903278778,1,4.0,0,Medium,10942.8934
57,1230,ALK,56.0,5238.064,2017,2012-05-15,2762.366,67.482,8.947137263031063,1,5.0,0,Small,9046.2141
58,1230,ALK,57.0,4374.845,2018,2012-05-15,1961.616,99.98,6.3535561939865834,1,6.0,1,Small,7496.3549
59,1230,ALK,58.0,4718.444,2019,2012-05-15,2212.188,99.977,7.16514382512316,1,7.0,1,Small,8333.25
60,1300,HON,57.0,15216.953,2010,2002-06-01,0.0,0.0,,0,8.0,1,Medium,41624.28
61,1300,HON,58.0,35813.31,2011,2002-06-01,0.0,0.0,,0,9.0,1,Medium,42104.945
62,1300,HON,59.0,16765.328,2012,2002-06-01,0.0,37.519,,0,10.0,1,Medium,49684.316
63,1300,HON,60.0,25973.246,2013,2002-06-01,0.0,37.528,,0,11.0,1,Medium,71615.806
64,1300,HON,61.0,23567.832,2014,2002-06-01,0.0,37.506,,0,12.0,1,Medium,78157.424
65,1300,HON,62.0,33760.446,2015,2002-06-01,0.0,50.083,,0,13.0,1,Medium,79790.328
66,1300,HON,63.0,17628.542,2016,2002-06-01,0.0,50.076,,0,14.0,1,Medium,88138.68
67,1300,HON,51.0,19789.152,2017,2017-03-31,5254.0,50.006,inf,1,0.0,0,Medium,115158.024
68,1300,HON,52.0,18651.522,2018,2017-03-31,9561.215,50.116,inf,1,1.0,0,Medium,96394.752
69,1300,HON,53.0,19776.997,2019,2017-03-31,8612.506,110.011,inf,1,2.0,0,Medium,125864.7
70,1327,SWKS,53.0,4346.753,2010,2000-04-01,1508.75,184.475,1.022326873560103,0,10.0,1,Small,3726.0362
71,1327,SWKS,54.0,5935.947,2011,2000-04-01,2856.0,162.474,1.9352215747391246,0,11.0,1,Small,3347.4926
72,1327,SWKS,55.0,3943.853,2012,2000-04-01,1717.2,142.535,1.1635722997696165,0,12.0,1,Small,4530.4938
73,1327,SWKS,56.0,5800.648,2013,2000-04-01,2482.48,187.661,1.6821249491801058,0,13.0,1,Small,4667.436
74,1327,SWKS,57.0,6912.623,2014,2000-04-01,2474.753,184.097,1.6768891448705787,0,14.0,1,Medium,10983.06
75,1327,SWKS,58.0,10158.055,2015,2000-04-01,4603.19,182.606,3.1191150562406826,0,15.0,1,Medium,16025.163
76,1327,SWKS,59.0,7015.382,2016,2000-04-01,3720.25,179.237,2.520836156660794,0,16.0,1,Medium,14078.286
77,1327,SWKS,50.0,8701.859,2017,2016-05-11,5336.603,204.18,3.6160746713646836,0,1.0,0,Medium,18657.89
78,1327,SWKS,51.0,9342.113,2018,2016-05-11,7150.399,201.611,4.845100284591409,0,2.0,0,Medium,16091.954
79,1327,SWKS,52.0,13660.593,2019,2016-05-11,11658.937,188.949,7.9000792790351,1,3.0,0,Medium,13480.425
80,1380,HES,56.0,13698.286,2010,1995-05-03,4216.097,149.875,2.8130755629691406,0,15.0,1,Medium,25846.1037
81,1380,HES,57.0,13264.659,2011,1995-05-03,4219.584,149.139,2.815402168473728,0,16.0,1,Medium,19310.6368
82,1380,HES,58.0,10034.623,2012,1995-05-03,8514.673,174.86,5.681182985821518,1,17.0,1,Medium,18087.3229
83,1380,HES,59.0,13826.574,2013,1995-05-03,8511.308,174.973,5.678937781484571,1,18.0,1,Medium,27001.062
84,1380,HES,60.0,14333.227,2014,1995-05-03,7819.982,175.002,5.2176693911592995,0,19.0,1,Medium,21100.3397
85,1380,HES,61.0,12933.682,2015,1995-05-03,7600.04,175.052,5.070919099249375,0,20.0,1,Medium,13867.5101
86,1380,HES,62.0,11705.332,2016,1995-05-03,5655.989,175.072,3.7738041701417844,0,21.0,1,Medium,19716.2177
87,1380,HES,63.0,12764.872,2017,1995-05-03,5985.021,175.05,3.9933417848206836,0,22.0,1,Medium,14955.6134
88,1380,HES,64.0,12572.44,2018,1995-05-03,4499.996,175.013,3.00249941618015,0,23.0,1,Medium,11803.1175
89,1380,HES,65.0,12302.813,2019,1995-05-03,4499.973,175.043,3.002484070058382,0,24.0,1,Medium,20374.0436
90,1440,AEP,63.0,8684.346,2010,2004-01-01,5321.15,123.0,3.6051151761517612,0,6.0,1,Medium,17299.4359
91,1440,AEP,64.0,8709.567,2011,2004-01-01,5313.0,44.625,3.5995934959349594,0,7.0,1,Medium,19970.2041
92,1440,AEP,52.0,7110.178,2012,2011-11-12,4600.008,45.5,3.1165365853658535,0,1.0,0,Medium,20728.3102
93,1440,AEP,53.0,10456.847,2013,2011-11-12,6720.167,139.75,4.552958672086721,0,2.0,0,Medium,22798.697
94,1440,AEP,54.0,11013.733,2014,2011-11-12,6720.019,146.25,4.552858401084011,0,3.0,0,Medium,29716.4894
95,1440,AEP,55.0,11253.539,2015,2011-11-12,6719.981,151.875,4.552832655826558,0,4.0,0,Medium,28613.6583
96,1440,AEP,56.0,11148.791,2016,2011-11-12,6720.027,157.5,4.552863821138211,0,5.0,0,Medium,30958.1875
97,1440,AEP,57.0,11169.46,2017,2011-11-12,7983.42,157.5,5.408821138211382,0,6.0,1,Medium,36196.8814
98,1440,AEP,58.0,11994.627,2018,2011-11-12,7564.313,157.5,5.124873306233062,0,7.0,1,Medium,36865.206
99,1440,AEP,59.0,13962.285,2019,2011-11-12,8775.003,157.5,5.945123983739838,1,8.0,1,Medium,46703.9122
100,1447,AXP,58.0,16252.851,2010,2001-01-01,2049.971,150.0,1.2424066666666667,0,9.0,1,Medium,51375.24
101,1447,AXP,59.0,22490.402,2011,2001-01-01,15274.191,150.0,9.257085454545456,1,10.0,1,Medium,54905.88
102,1447,AXP,60.0,28012.789,2012,2001-01-01,18864.985,150.0,11.433324242424243,1,11.0,1,Medium,63515.4
103,1447,AXP,61.0,21711.762,2013,2001-01-01,10486.267,155.0,6.355313333333333,1,12.0,1,Medium,96536.72
104,1447,AXP,62.0,22378.158,2014,2001-01-01,12429.114,155.0,7.532796363636363,1,13.0,1,Medium,95179.92
105,1447,AXP,63.0,21687.566,2015,2001-01-01,16339.045,165.0,9.902451515151515,1,14.0,1,Medium,67393.95
106,1447,AXP,64.0,16944.835,2016,2001-01-01,12809.527,165.0,7.763349696969697,1,15.0,1,,
107,1447,AXP,65.0,18112.424,2017,2001-01-01,12209.937,165.0,7.3999618181818185,1,16.0,1,,
108,1447,AXP,58.0,17340.684,2018,2018-02-01,5999.903,190.0,3.6363048484848486,0,0.0,0,,
109,1447,AXP,59.0,23712.017,2019,2018-02-01,10318.663,190.0,6.253735151515151,1,1.0,0,,
110,1449,AFL,58.0,15872.272,2010,1990-01-01,3418.156,0.0,inf,1,20.0,1,Medium,26502.9702
111,1449,AFL,59.0,14195.758,2011,1990-01-01,3755.51,100.015,inf,1,21.0,1,Medium,20172.5706
112,1449,AFL,60.0,14155.231,2012,1990-01-01,4458.439,0.0,inf,1,22.0,1,Medium,24848.7923
113,1449,AFL,61.0,17263.975,2013,1990-01-01,10844.642,0.0,inf,1,23.0,1,Medium,30688.7884
114,1449,AFL,62.0,8642.194,2014,1990-01-01,2141.162,0.0,inf,1,24.0,1,Medium,27028.9651
115,1449,AFL,63.0,12830.37,2015,1990-01-01,4800.556,98.456,inf,1,25.0,1,Medium,25420.362
116,1449,AFL,64.0,20412.011,2016,1990-01-01,13773.466,67.54,inf,1,26.0,1,Medium,28244.376
117,1449,AFL,65.0,16343.075,2017,1990-01-01,8607.889,135.034,inf,1,27.0,1,Medium,34274.1399
118,1449,AFL,66.0,15368.527,2018,1990-01-01,8922.142,77.542,inf,1,28.0,1,Medium,34410.8302
119,1449,AFL,67.0,14108.852,2019,1990-01-01,8272.062,130.847,inf,1,29.0,1,,
120,1487,AIG,66.0,8405.388,2010,2009-08-10,5380.802,49.97,8.973387365752785,1,1.0,0,,
121,1487,AIG,67.0,13955.131,2011,2009-08-10,10932.677,49.99,18.23206757387766,1,2.0,0,Medium,44006.2472
122,1487,AIG,68.0,10540.105,2012,2009-08-10,7500.0,49.999,12.507504502701622,1,3.0,0,,
123,1487,AIG,69.0,14774.439,2013,2009-08-10,6452.514,89.975,10.7606463878327,1,4.0,0,,
