,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
0,1045,AAL,CEO,669.646,0.0,3280.68,1185.94,94.66,669.646,51.0,5231.393,2010,2003-04-25,,2011-11-28,MALE,02376R10,Scheduled Passenger Air Transportation,4512,2597.5755,Small,645bcd0e850075f48a7ba136945a6a08
1,1045,AAL,CEO,613.842,0.0,4020.38,798.6,93.996,613.842,52.0,5526.835,2011,2003-04-25,,2011-11-28,MALE,02376R10,Scheduled Passenger Air Transportation,4512,117.3438,Small,bb795ace47922d5a7519d44ca3dbcc86
2,1045,AAL,CEO,618.135,0.0,0.0,0.0,37.458,618.135,50.0,656.226,2012,2011-11-28,,2013-12-09,MALE,02376R10,Scheduled Passenger Air Transportation,4512,266.5571,Small,43531710f52c752cbeea9ef747e908ac
3,1045,AAL,CEO,591.911,0.0,4199.761,0.0,13117.484,591.911,51.0,19092.978,2013,2011-11-28,,2013-12-09,MALE,02376R10,Scheduled Passenger Air Transportation,4512,6591.9923,Small,64855fa7246f66fbe28bfacacd9dbde4
4,1045,AAL,CEO,687.884,0.0,7000.0,0.0,414.092,687.884,52.0,12301.976,2014,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,37405.5843,Medium,71f0bef52756d54e79174a8d3b1732d0
5,1045,AAL,CEO,231.538,0.0,10330.0,0.0,469.559,231.538,53.0,11418.547,2015,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,26452.7417,Medium,700055cd057a6bb3a7d0248976cabdc1
6,1045,AAL,CEO,0.0,0.0,11000.0,0.0,140.763,0.0,54.0,11140.763,2016,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,23685.5569,Medium,aade04f5902b9dfacb175c61d686a2ce
7,1045,AAL,CEO,0.0,0.0,11974.0,0.0,201.486,0.0,55.0,12175.486,2017,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,24740.6812,Medium,56934b94d73da2a355d8bf8b820062c9
8,1045,AAL,CEO,0.0,0.0,11939.0,0.0,60.517,0.0,56.0,11999.517,2018,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,14790.2192,Medium,98cf731e7088b235ae3884d10e7ad68c
9,1045,AAL,CEO,0.0,0.0,11508.0,0.0,63.714,0.0,57.0,11571.714,2019,2013-12-09,,2022-03-31,MALE,02376R10,Scheduled Passenger Air Transportation,4512,12280.862,Medium,a1a3c443d2ca9f29c6fe2eeac9629822
10,1075,PNW,CEO,960.0,0.0,2350.004,0.0,21.473,960.0,55.0,4804.487,2010,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,4508.5165,Small,e61d82047fa65608ea53851c1f53f6e5
11,1075,PNW,CEO,1091.0,0.0,3900.218,0.0,25.242,1091.0,56.0,6697.916,2011,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5263.4723,Small,08334a6560d8fb346f9fefacf7db6c91
12,1075,PNW,CEO,1146.0,0.0,7100.295,0.0,26.644,1146.0,57.0,10122.665,2012,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5594.6981,Small,81d709ec83f505fc6169503d9133404c
13,1075,PNW,CEO,1203.3,0.0,4000.235,0.0,26.344,1203.3,58.0,7123.873,2013,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,5830.8314,Small,a3fb98e4ef9dc85c83e33c8a1575d712
14,1075,PNW,CEO,1240.0,0.0,4199.976,0.0,26.729,1240.0,59.0,7376.177,2014,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,7553.105,Small,19abea3cf40c8cd19a3a0a9cfdf50630
15,1075,PNW,CEO,1277.0,0.0,4400.029,0.0,27.183,1277.0,60.0,7833.951,2015,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,7155.9904,Small,11c400a273ff024e711520b44314ef8a
16,1075,PNW,CEO,1315.0,0.0,5908.828,0.0,25.675,1315.0,61.0,9240.37,2016,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,8687.6261,Small,491906f2c84f86d578cea334059ab246
17,1075,PNW,CEO,1355.0,0.0,4374.133,0.0,27.41,1355.0,62.0,8161.669,2017,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,9519.0354,Small,59bba37fbeb3fbc1fbd226dae0b35e14
18,1075,PNW,CEO,1395.0,0.0,4370.322,0.0,27.965,1395.0,63.0,9935.099,2018,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,9551.0904,Small,79974be2e56cd0c50622b1d0ba556c9e
19,1075,PNW,CEO,1308.521,0.0,4451.654,0.0,49.057,1308.521,64.0,9560.511,2019,2009-04-30,2002-12-01,2019-11-15,MALE,72348410,"Electric Power Generation, Transmission and Distri",4911,10111.3695,Medium,f1e220afeba125735e00f837a37394b2
20,1078,ABT,CEO,1893.371,0.0,10897.0,2725.8,807.728,1893.371,55.0,20023.899,2010,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,74116.0034,Medium,bbbfaada5af8762caea55f022692ecc4
21,1078,ABT,CEO,1900.0,0.0,9759.558,1835.981,896.283,1900.0,56.0,18591.822,2011,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,88302.4112,Medium,08c91b3f51b06aae956ceff6ff2c4463
22,1078,ABT,CEO,1900.0,0.0,9429.176,2057.0,869.713,1900.0,57.0,18955.889,2012,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,103271.6885,Medium,0b998a15fc398a611534a6568e5b0f33
23,1078,ABT,CEO,1900.0,0.0,7337.4,7062.22,1079.895,1900.0,58.0,20529.515,2013,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,59338.5963,Medium,78ea8691cb78793148c6874d12c8beae
24,1078,ABT,CEO,1973.077,0.0,4649.999,4649.997,1106.436,1973.077,59.0,16179.509,2014,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,67891.7357,Medium,92ef210b8ae4b2db60cc68bff01da62e
25,1078,ABT,CEO,1900.0,0.0,6247.971,6249.997,1091.506,1900.0,60.0,18789.474,2015,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,66137.3852,Medium,0572ab93af93559a7432cdb6a45964c1
26,1078,ABT,CEO,1900.0,0.0,5249.288,5249.999,825.589,1900.0,61.0,16424.876,2016,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,56572.8983,Medium,24fee2288b711a7c716975117e030244
27,1078,ABT,CEO,1900.0,0.0,4099.523,4099.998,1020.596,1900.0,62.0,15620.117,2017,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,99507.3661,Medium,252f396eda49715a7565b98442fb5f18
28,1078,ABT,CEO,1900.0,0.0,7499.367,7499.996,1193.342,1900.0,63.0,22872.393,2018,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,126983.9223,Medium,9adde6c185f30bffb8733efef524add1
29,1078,ABT,CEO,1900.0,0.0,7562.448,7562.499,664.409,1900.0,64.0,22094.981,2019,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,153091.0106,Medium,cbc8f51953421d19c35a85ceddb83c9d
30,1161,AMD,CEO,925.381,0.0,2530.0,2084.128,10.329,925.381,48.0,5549.838,2010,2008-07-01,1995-01-01,2011-01-10,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,5586.94,Small,7f22e0d38dc6da977747d3ad80f33d82
31,1161,AMD,CEO,566.046,746.0,1150.305,1079.262,14.902,1312.046,48.0,3784.46,2011,2011-01-10,,2011-08-01,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,3769.2,Small,0a1dccbc277442bdb92dc8c45b4f8175
32,1161,AMD,CEO,1000.002,0.0,3744.848,1596.407,388.571,1000.002,51.0,7298.328,2012,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,1711.2,Small,d2917d9ae4e14974a39880e43896c284
33,1161,AMD,CEO,1000.002,0.0,4891.25,1582.411,32.827,1000.002,52.0,8211.49,2013,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2805.75,Small,189d3756ca8c11ad94962e6b5137abbe
34,1161,AMD,CEO,1000.002,0.0,5073.165,1617.085,39.293,1000.002,53.0,7729.545,2014,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2071.92,Small,b2b434f8e7967edbdd9fadb3ebf8df10
35,1161,AMD,CEO,849.992,300.0,4438.124,1804.858,25.412,1149.992,45.0,6559.194,2015,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,2273.04,Small,ee4eca921542c869476dd5736c6ec349
36,1161,AMD,CEO,886.34,0.0,7983.393,2408.12,14.266,886.34,46.0,11724.775,2016,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,10602.9,Medium,80efe44ce11e90adade53808f4d668c0
37,1161,AMD,CEO,924.997,0.0,6980.74,1897.77,14.614,924.997,47.0,10894.82,2017,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,9940.76,Small,7b3f881a6d349d0f0601f7b7fb7f5b6c
38,1161,AMD,CEO,961.057,0.0,8622.801,2500.318,30.591,961.057,48.0,13356.393,2018,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,18552.3,Medium,0be7b602792d019a2e62da5aaf2f48e9
39,1161,AMD,CEO,1026.442,0.0,53176.357,3087.749,15.264,1026.442,49.0,58534.289,2019,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,53656.2,Medium,fd076a353aa3d5f3d57e254555b92a26
40,1209,APD,CEO,1200.0,0.0,3849.914,3653.323,162.688,1200.0,56.0,11620.529,2010,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17707.1645,Medium,3828e079191c497f7523e47e27d06795
41,1209,APD,CEO,1200.0,0.0,4024.841,3457.048,142.91,1200.0,57.0,11383.764,2011,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,16051.8285,Medium,8c795eb96d30924ab9e38f479e2f24d8
42,1209,APD,CEO,1200.0,0.0,3599.997,3370.028,164.983,1200.0,58.0,9255.356,2012,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17571.7652,Medium,46d13353bbdb90da5aeb14cfe4dc3979
43,1209,APD,CEO,1200.0,0.0,4062.39,3516.569,154.929,1200.0,59.0,9976.558,2013,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,22505.346,Medium,f2b2113a34068c1d0eea5a4bcf06eecb
44,1209,APD,CEO,904.615,1000.0,0.0,0.0,9843.778,1904.615,60.0,11768.072,2014,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,27798.507,Medium,d58e3e7ade576be9f18886d4130ecdee
45,1209,APD,CEO,1200.0,0.0,6947.086,1505.563,184.385,1200.0,71.0,12958.113,2015,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,27475.5012,Medium,950367178a550ffee53aa2363e009f1b
46,1209,APD,CEO,1200.0,0.0,6839.951,0.0,251.592,1200.0,72.0,11535.833,2016,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,32676.5493,Medium,0d7d844f2a7db834269cbb7802bfe1d5
47,1209,APD,CEO,1200.0,0.0,9194.498,0.0,283.476,1200.0,73.0,13959.766,2017,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,33018.2821,Medium,ca8ac58efdfab8a10458b85849bc1163
48,1209,APD,CEO,1309.615,0.0,9788.563,0.0,265.398,1309.615,74.0,13941.507,2018,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,36670.1478,Medium,8990082838e2df61ff65d58cbc51985f
49,1209,APD,CEO,1350.0,0.0,12842.935,0.0,401.722,1350.0,75.0,17031.957,2019,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,48901.2719,Medium,f4cbb491d8f5508a98fe86e4756b3ff5
50,1230,ALK,CEO,395.385,0.0,1120.197,697.052,93.785,395.385,55.0,3051.7328,2010,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2036.5316,Small,5e7456dee8a373787cc9345bee6fcf06
51,1230,ALK,CEO,410.154,0.0,821.42,425.571,93.209,410.154,56.0,2303.931,2011,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2663.8178,Small,a677a6ad99045db120e8ae5001531609
52,1230,ALK,CEO,419.614,0.0,3160.012,442.002,102.008,419.614,51.0,4226.832,2012,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,3032.5449,Small,edf9c2d92aeb40df3061a02988666c21
